group,side,metric,p,k,n_steps,n_rollouts,ci_lo,ci_hi
above_good,bad,P(toward_good | on bad side),0.5317324185248714,310.0,583.0,52.0,0.5057064376052098,0.5566515159209792
above_good,good,P(toward_bad | on good side),0.4636363636363636,153.0,330.0,27.0,0.42707364606126913,0.5017924381817476
baseline[good=above],bad,P(toward_good | on bad side),0.5134615384615384,267.0,520.0,38.0,0.4797717901815899,0.5509721121458292
baseline[good=above],good,P(toward_bad | on good side),0.4811320754716981,204.0,424.0,33.0,0.4543651845008802,0.5161378943637008
baseline[good=below],bad,P(toward_good | on bad side),0.4811320754716981,204.0,424.0,33.0,0.4543651845008802,0.5161378943637008
baseline[good=below],good,P(toward_bad | on good side),0.5134615384615384,267.0,520.0,38.0,0.4797717901815899,0.5509721121458292
below_good,bad,P(toward_good | on bad side),0.5316455696202531,168.0,316.0,36.0,0.49084255357650647,0.5797625155557496
below_good,good,P(toward_bad | on good side),0.5233415233415234,213.0,407.0,38.0,0.4932466346799883,0.560002557544757
above_good,both,asymmetry: P(toward good|bad) - P(toward bad|good),0.06809605488850778,,,,,
baseline[good=above],both,asymmetry: P(toward good|bad) - P(toward bad|good),0.032329462989840296,,,,,
baseline[good=below],both,asymmetry: P(toward good|bad) - P(toward bad|good),-0.032329462989840296,,,,,
below_good,both,asymmetry: P(toward good|bad) - P(toward bad|good),0.008304046278729715,,,,,
