group,value,cond,n,p_cross_to_good,ci_good,p_cross_to_bad,ci_bad,asymmetry
all,,above_good,98,0.09183673469387756,"(0.04906865909068409, 0.16539772792601637)",0.05102040816326531,"(0.021986987165990058, 0.11392603855238045)",0.04081632653061225
all,,below_good,95,0.3263157894736842,"(0.24038572025731433, 0.4257467583751644)",0.010526315789473684,"(0.0018605283639709968, 0.0572400932366506)",0.31578947368421056
all,,pooled,193,0.20725388601036268,"(0.1560536667331932, 0.26988068860632847)",0.031088082901554404,"(0.01432407677048586, 0.06615484638396928)",0.17616580310880828
restates_bet,True,above_good,98,0.09183673469387756,"(0.04906865909068409, 0.16539772792601637)",0.05102040816326531,"(0.021986987165990058, 0.11392603855238045)",0.04081632653061225
restates_bet,True,below_good,95,0.3263157894736842,"(0.24038572025731433, 0.4257467583751644)",0.010526315789473684,"(0.0018605283639709968, 0.0572400932366506)",0.31578947368421056
restates_bet,True,pooled,193,0.20725388601036268,"(0.1560536667331932, 0.26988068860632847)",0.031088082901554404,"(0.01432407677048586, 0.06615484638396928)",0.17616580310880828
resolves_to_ignore,True,above_good,98,0.09183673469387756,"(0.04906865909068409, 0.16539772792601637)",0.05102040816326531,"(0.021986987165990058, 0.11392603855238045)",0.04081632653061225
resolves_to_ignore,True,below_good,94,0.3191489361702128,"(0.23361018709048179, 0.4188893632030539)",0.010638297872340425,"(0.0018803473390524767, 0.057824318161102874)",0.30851063829787234
resolves_to_ignore,True,pooled,192,0.203125,"(0.15230009131255312, 0.26559682129437)",0.03125,"(0.014399085841634563, 0.06649077616929672)",0.171875
explicit_aiming,True,above_good,18,0.4444444444444444,"(0.24559231101389123, 0.6628393057174836)",0.0,"(0.0, 0.1758845505823749)",0.4444444444444444
explicit_aiming,True,below_good,33,0.5151515151515151,"(0.35218104586210247, 0.6749621835307578)",0.0,"(0.0, 0.10427343003561192)",0.5151515151515151
explicit_aiming,True,pooled,51,0.49019607843137253,"(0.3585726214230619, 0.6231930455159039)",0.0,"(0.0, 0.07004901388726806)",0.49019607843137253
user_intent_reading,True,above_good,71,0.11267605633802817,"(0.05821202176555297, 0.20690256691240155)",0.07042253521126761,"(0.030453153406264533, 0.1544921176729214)",0.04225352112676056
user_intent_reading,True,below_good,69,0.391304347826087,"(0.28481147647724914, 0.509262239641013)",0.0,"(0.0, 0.05273909414400562)",0.391304347826087
user_intent_reading,True,pooled,140,0.25,"(0.18559816206588395, 0.32775541575861195)",0.03571428571428571,"(0.01534948926721527, 0.08087858383541985)",0.2142857142857143
threshold_as_evidence,True,above_good,98,0.09183673469387756,"(0.04906865909068409, 0.16539772792601637)",0.05102040816326531,"(0.021986987165990058, 0.11392603855238045)",0.04081632653061225
threshold_as_evidence,True,below_good,95,0.3263157894736842,"(0.24038572025731433, 0.4257467583751644)",0.010526315789473684,"(0.0018605283639709968, 0.0572400932366506)",0.31578947368421056
threshold_as_evidence,True,pooled,193,0.20725388601036268,"(0.1560536667331932, 0.26988068860632847)",0.031088082901554404,"(0.01432407677048586, 0.06615484638396928)",0.17616580310880828
suspicion,True,above_good,45,0.06666666666666667,"(0.022931616462147076, 0.17856874388640825)",0.044444444444444446,"(0.01227386904044434, 0.14827779183880616)",0.02222222222222222
suspicion,True,below_good,42,0.2857142857142857,"(0.1716685874457567, 0.43567496077245566)",0.0,"(0.0, 0.08380161250916197)",0.2857142857142857
suspicion,True,pooled,87,0.1724137931034483,"(0.10736198165891474, 0.26517218770842366)",0.022988505747126436,"(0.006326952471398799, 0.07999473274770787)",0.14942528735632185
restates_bet,False,above_good,0,,"(nan, nan)",,"(nan, nan)",
restates_bet,False,below_good,0,,"(nan, nan)",,"(nan, nan)",
restates_bet,False,pooled,0,,"(nan, nan)",,"(nan, nan)",
resolves_to_ignore,False,above_good,0,,"(nan, nan)",,"(nan, nan)",
resolves_to_ignore,False,below_good,1,1.0,"(0.20654329147389294, 1.0)",0.0,"(0.0, 0.7934567085261071)",1.0
resolves_to_ignore,False,pooled,1,1.0,"(0.20654329147389294, 1.0)",0.0,"(0.0, 0.7934567085261071)",1.0
explicit_aiming,False,above_good,80,0.0125,"(0.0022099186183062243, 0.06746432423965451)",0.0625,"(0.02698897769798554, 0.1381032915335177)",-0.05
explicit_aiming,False,below_good,62,0.22580645161290322,"(0.13955057139297952, 0.34405857540782725)",0.016129032258064516,"(0.002852793692240394, 0.0858692300738892)",0.2096774193548387
explicit_aiming,False,pooled,142,0.1056338028169014,"(0.06506614888512152, 0.16697738327579828)",0.04225352112676056,"(0.01950651987493898, 0.08911543709755719)",0.06338028169014084
user_intent_reading,False,above_good,27,0.037037037037037035,"(0.006567976533097596, 0.1828385393415652)",0.0,"(0.0, 0.1245590371446358)",0.037037037037037035
user_intent_reading,False,below_good,26,0.15384615384615385,"(0.061499339989294764, 0.3353158441831357)",0.038461538461538464,"(0.006821808976989882, 0.18893176991958402)",0.11538461538461539
user_intent_reading,False,pooled,53,0.09433962264150944,"(0.04097203744189685, 0.20253975673701435)",0.018867924528301886,"(0.0033383673867494, 0.09943143501149411)",0.07547169811320756
threshold_as_evidence,False,above_good,0,,"(nan, nan)",,"(nan, nan)",
threshold_as_evidence,False,below_good,0,,"(nan, nan)",,"(nan, nan)",
threshold_as_evidence,False,pooled,0,,"(nan, nan)",,"(nan, nan)",
suspicion,False,above_good,53,0.11320754716981132,"(0.05292958911068668, 0.22576770301339144)",0.05660377358490566,"(0.01943630892731418, 0.15370448936126319)",0.05660377358490566
suspicion,False,below_good,53,0.3584905660377358,"(0.24301769841123622, 0.49309106700001176)",0.018867924528301886,"(0.0033383673867494, 0.09943143501149411)",0.33962264150943394
suspicion,False,pooled,106,0.2358490566037736,"(0.16515930334184276, 0.32501563948491863)",0.03773584905660377,"(0.014770608109942168, 0.09303554183689035)",0.19811320754716982
baseline[good=above],,baseline,100,0.03,"(0.010254338223414811, 0.08452078080402699)",0.08,"(0.04109296948581091, 0.1499826687940307)",-0.05
baseline[good=below],,baseline,100,0.08,"(0.04109296948581091, 0.1499826687940307)",0.03,"(0.010254338223414811, 0.08452078080402699)",0.05
