group,rollout,t,K,side,move,is_last
baseline[good=above],baseline/0,0,15,bad,toward_good,False
baseline[good=above],baseline/0,1,15,bad,toward_bad,False
baseline[good=above],baseline/0,2,15,bad,toward_good,False
baseline[good=above],baseline/0,3,15,bad,toward_bad,False
baseline[good=above],baseline/0,4,15,bad,toward_good,False
baseline[good=above],baseline/0,5,15,bad,toward_bad,False
baseline[good=above],baseline/0,6,15,bad,toward_good,False
baseline[good=above],baseline/0,7,15,bad,toward_bad,False
baseline[good=above],baseline/0,8,15,bad,toward_good,False
baseline[good=above],baseline/0,9,15,bad,toward_good,False
baseline[good=above],baseline/0,10,15,bad,toward_good,False
baseline[good=above],baseline/0,11,15,bad,toward_bad,False
baseline[good=above],baseline/0,12,15,bad,toward_good,False
baseline[good=above],baseline/0,13,15,bad,toward_bad,False
baseline[good=above],baseline/0,14,15,bad,,True
baseline[good=below],baseline/0,0,15,good,toward_bad,False
baseline[good=below],baseline/0,1,15,good,toward_good,False
baseline[good=below],baseline/0,2,15,good,toward_bad,False
baseline[good=below],baseline/0,3,15,good,toward_good,False
baseline[good=below],baseline/0,4,15,good,toward_bad,False
baseline[good=below],baseline/0,5,15,good,toward_good,False
baseline[good=below],baseline/0,6,15,good,toward_bad,False
baseline[good=below],baseline/0,7,15,good,toward_good,False
baseline[good=below],baseline/0,8,15,good,toward_bad,False
baseline[good=below],baseline/0,9,15,good,toward_bad,False
baseline[good=below],baseline/0,10,15,good,toward_bad,False
baseline[good=below],baseline/0,11,15,good,toward_good,False
baseline[good=below],baseline/0,12,15,good,toward_bad,False
baseline[good=below],baseline/0,13,15,good,toward_good,False
baseline[good=below],baseline/0,14,15,good,,True
baseline[good=above],baseline/1,0,7,bad,toward_bad,False
baseline[good=above],baseline/1,1,7,bad,toward_bad,False
baseline[good=above],baseline/1,2,7,bad,toward_good,False
baseline[good=above],baseline/1,3,7,bad,toward_bad,False
baseline[good=above],baseline/1,4,7,bad,toward_good,False
baseline[good=above],baseline/1,5,7,bad,toward_bad,False
baseline[good=above],baseline/1,6,7,bad,,True
baseline[good=below],baseline/1,0,7,good,toward_good,False
baseline[good=below],baseline/1,1,7,good,toward_good,False
baseline[good=below],baseline/1,2,7,good,toward_bad,False
baseline[good=below],baseline/1,3,7,good,toward_good,False
baseline[good=below],baseline/1,4,7,good,toward_bad,False
baseline[good=below],baseline/1,5,7,good,toward_good,False
baseline[good=below],baseline/1,6,7,good,,True
baseline[good=above],baseline/2,0,20,bad,toward_bad,False
