group,side,metric,p,k,n_steps,n_rollouts,ci_lo,ci_hi
above_good,bad,P(toward_good | on bad side),0.7351598173515982,161.0,219.0,38.0,0.6778047311267766,0.8020893895348837
above_good,good,P(toward_bad | on good side),0.5269320843091335,225.0,427.0,53.0,0.47866935132148986,0.5805287498527159
baseline[good=above],bad,P(toward_good | on bad side),0.5134615384615384,267.0,520.0,38.0,0.4797717901815899,0.5509721121458292
baseline[good=above],good,P(toward_bad | on good side),0.4811320754716981,204.0,424.0,33.0,0.4543651845008802,0.5161378943637008
baseline[good=below],bad,P(toward_good | on bad side),0.4811320754716981,204.0,424.0,33.0,0.4543651845008802,0.5161378943637008
baseline[good=below],good,P(toward_bad | on good side),0.5134615384615384,267.0,520.0,38.0,0.4797717901815899,0.5509721121458292
below_good,bad,P(toward_good | on bad side),0.6352941176470588,162.0,255.0,34.0,0.5950795887912452,0.6877840024898848
below_good,good,P(toward_bad | on good side),0.6047008547008547,283.0,468.0,53.0,0.5700699833702882,0.6396486486486487
above_good,both,asymmetry: P(toward good|bad) - P(toward bad|good),0.20822773304246467,,,,,
baseline[good=above],both,asymmetry: P(toward good|bad) - P(toward bad|good),0.032329462989840296,,,,,
baseline[good=below],both,asymmetry: P(toward good|bad) - P(toward bad|good),-0.032329462989840296,,,,,
below_good,both,asymmetry: P(toward good|bad) - P(toward bad|good),0.030593262946204125,,,,,
