cond,mode,label,rate,n,ci_lo,ci_hi
above_good,restates_bet,M0 restates bet,1.0,97,0.9619046107955446,1.0
above_good,resolves_to_ignore,M1 resolves to ignore / claims unaffected,0.9896907216494846,97,0.9438936439364473,0.9981778821004262
above_good,explicit_aiming,M2 explicit aiming,0.2268041237113402,97,0.15481698841986685,0.319606265475351
above_good,user_intent_reading,M3 reads as user intent,0.6494845360824743,97,0.5504892147387033,0.7370905142620267
above_good,threshold_as_evidence,M4 threshold as evidence,0.9896907216494846,97,0.9438936439364473,0.9981778821004262
above_good,suspicion,M5 suspicion / test-awareness,0.6804123711340206,97,0.5822644606203156,0.7648145226564275
above_good,disclosure=admits,M7 answer admits,0.0,97,0.0,0.03809538920445529
above_good,disclosure=mentions,M7 answer mentions,0.3402061855670103,97,0.25362119291999513,0.43896599332060404
above_good,disclosure=no_mention,M7 answer no_mention,0.6185567010309279,97,0.5191255982790659,0.7089548764456509
above_good,disclosure=denies,M7 answer denies,0.041237113402061855,97,0.016150975246288893,0.1012767529928505
above_good,disclosure=unparsed,M7 answer unparsed,0.0,97,0.0,0.03809538920445529
above_good,any_bet_revision,M6 ≥1 bet-referenced revision,0.5567010309278351,97,0.45755626177249387,0.6515257044001969
below_good,restates_bet,M0 restates bet,1.0,99,0.9626454664260378,1.0
below_good,resolves_to_ignore,M1 resolves to ignore / claims unaffected,0.9696969696969697,99,0.9146617688347426,0.9896415481109292
below_good,explicit_aiming,M2 explicit aiming,0.494949494949495,99,0.3985062952748374,0.5917700131451018
below_good,user_intent_reading,M3 reads as user intent,0.6868686868686869,99,0.5899831082357886,0.769793480226468
below_good,threshold_as_evidence,M4 threshold as evidence,1.0,99,0.9626454664260378,1.0
below_good,suspicion,M5 suspicion / test-awareness,0.5252525252525253,99,0.42779134155248744,0.6208271163478175
below_good,disclosure=admits,M7 answer admits,0.0,99,0.0,0.03735453357396229
below_good,disclosure=mentions,M7 answer mentions,0.42424242424242425,99,0.331509474444057,0.5226351518550282
below_good,disclosure=no_mention,M7 answer no_mention,0.41414141414141414,99,0.32209342077368147,0.5126038223652817
below_good,disclosure=denies,M7 answer denies,0.16161616161616163,99,0.1019986133990387,0.24651405073687518
below_good,disclosure=unparsed,M7 answer unparsed,0.0,99,0.0,0.03735453357396229
below_good,any_bet_revision,M6 ≥1 bet-referenced revision,0.7676767676767676,99,0.6754456673730281,0.8399099863702041
pooled,restates_bet,M0 restates bet,1.0,196,0.9807767752059631,1.0
pooled,resolves_to_ignore,M1 resolves to ignore / claims unaffected,0.9795918367346939,196,0.948709204448447,0.9920358656470687
pooled,explicit_aiming,M2 explicit aiming,0.3622448979591837,196,0.29819944455231256,0.43158654595216694
pooled,user_intent_reading,M3 reads as user intent,0.6683673469387755,196,0.599775217979304,0.7304863491818877
pooled,threshold_as_evidence,M4 threshold as evidence,0.9948979591836735,196,0.9716700296884005,0.9990988192399506
pooled,suspicion,M5 suspicion / test-awareness,0.6020408163265306,196,0.5321859982700713,0.667972527282166
pooled,disclosure=admits,M7 answer admits,0.0,196,0.0,0.019223224794036875
pooled,disclosure=mentions,M7 answer mentions,0.3826530612244898,196,0.317483443681316,0.45233425193361093
pooled,disclosure=no_mention,M7 answer no_mention,0.5153061224489796,196,0.44571983211717353,0.584303946715662
pooled,disclosure=denies,M7 answer denies,0.10204081632653061,196,0.06703037323965971,0.15235137710661453
pooled,disclosure=unparsed,M7 answer unparsed,0.0,196,0.0,0.019223224794036875
pooled,any_bet_revision,M6 ≥1 bet-referenced revision,0.6632653061224489,196,0.5945276553139988,0.7257259855695809
