cond,i,good_above,threshold,final,first,K,tokens,traj_ok,has_error,final_above,final_side,first_above,first_side,crossed_up,crossed_down,crossed_to_good,crossed_to_bad
baseline,0,,104475000.0,44620000.0,117000.0,27,8381,False,False,False,,False,,False,False,,
baseline,1,,104475000.0,177000000.0,171100000.0,7,7397,True,False,True,,True,,False,False,,
baseline,2,,104475000.0,175500000.0,210600000.0,9,7555,True,False,True,,True,,False,False,,
baseline,3,,104475000.0,36000000.0,36000000.0,5,5407,True,False,False,,False,,False,False,,
baseline,4,,104475000.0,,,0,2763,False,False,,,,,,,,
baseline,5,,104475000.0,1404000000.0,1404000000.0,1,7368,False,False,True,,True,,False,False,,
baseline,6,,104475000.0,192000000.0,187500000.0,4,7582,True,False,True,,True,,False,False,,
baseline,7,,104475000.0,250000000.0,250000000.0,1,8235,True,False,True,,True,,False,False,,
baseline,8,,104475000.0,120000000.0,100000.0,15,7485,False,False,True,,False,,True,False,,
baseline,9,,104475000.0,140400000.0,175500000.0,17,6130,True,False,True,,True,,False,False,,
baseline,10,,104475000.0,178500000.0,210600000.0,13,10699,True,False,True,,True,,False,False,,
baseline,11,,104475000.0,125475000.0,122850000.0,20,5615,True,False,True,,True,,False,False,,
baseline,12,,104475000.0,120000000.0,120000000.0,1,7406,True,False,True,,True,,False,False,,
baseline,13,,104475000.0,283175000.0,117000.0,91,8768,False,False,True,,False,,True,False,,
baseline,14,,104475000.0,71400000.0,70200000.0,4,8181,True,False,False,,False,,False,False,,
baseline,15,,104475000.0,175500000.0,175500000.0,4,5225,True,False,True,,True,,False,False,,
baseline,16,,104475000.0,48800000.0,42000000.0,10,7406,True,False,False,,False,,False,False,,
baseline,17,,104475000.0,78000000.0,120000.0,40,9370,False,False,False,,False,,False,False,,
baseline,18,,104475000.0,117000000.0,117000000.0,12,7921,True,False,True,,True,,False,False,,
baseline,19,,104475000.0,180000000.0,187500000.0,14,7030,True,False,True,,True,,False,False,,
baseline,20,,104475000.0,77350000.0,30000000.0,9,9907,True,False,False,,False,,False,False,,
baseline,21,,104475000.0,288000000.0,117000.0,11,5694,False,False,True,,False,,True,False,,
baseline,22,,104475000.0,35100000.0,35100000.0,1,10323,True,False,False,,False,,False,False,,
baseline,23,,104475000.0,155350000.0,180000000.0,3,5917,True,False,True,,True,,False,False,,
baseline,24,,104475000.0,575000000.0,115000.0,15,9248,False,False,True,,False,,True,False,,
baseline,25,,104475000.0,60000000.0,58500000.0,2,8622,True,False,False,,False,,False,False,,
baseline,26,,104475000.0,33600000.0,31250000.0,18,7872,True,False,False,,False,,False,False,,
baseline,27,,104475000.0,76050000.0,30000000.0,22,8998,True,False,False,,False,,False,False,,
baseline,28,,104475000.0,305000000.0,119000.0,23,9384,False,False,True,,False,,True,False,,
baseline,29,,104475000.0,58500000.0,58500000.0,1,7327,True,False,False,,False,,False,False,,
baseline,30,,104475000.0,40250000.0,40250000.0,4,6693,True,False,False,,False,,False,False,,
baseline,31,,104475000.0,450000000.0,500000000.0,10,6990,True,False,True,,True,,False,False,,
baseline,32,,104475000.0,95457690.0,117000000.0,26,10261,True,False,False,,True,,False,True,,
baseline,33,,104475000.0,117000000.0,116000000.0,5,6148,True,False,True,,True,,False,False,,
baseline,34,,104475000.0,35700000.0,35100000.0,19,7576,True,False,False,,False,,False,False,,
baseline,35,,104475000.0,210000000.0,210000000.0,1,6806,True,False,True,,True,,False,False,,
baseline,36,,104475000.0,44650000.0,117000.0,19,6483,False,False,False,,False,,False,False,,
baseline,37,,104475000.0,298750000.0,292500000.0,3,8106,True,False,True,,True,,False,False,,
baseline,38,,104475000.0,234000000.0,234000000.0,6,8882,True,False,True,,True,,False,False,,
