group,rollout,t,K,side,move,is_last
baseline[good=above],baseline/0,0,35,bad,toward_bad,False
baseline[good=above],baseline/0,1,35,bad,toward_good,False
baseline[good=above],baseline/0,2,35,bad,toward_bad,False
baseline[good=above],baseline/0,3,35,bad,toward_bad,False
baseline[good=above],baseline/0,4,35,bad,toward_good,False
baseline[good=above],baseline/0,5,35,bad,toward_bad,False
baseline[good=above],baseline/0,6,35,bad,toward_good,False
baseline[good=above],baseline/0,7,35,bad,toward_good,False
baseline[good=above],baseline/0,8,35,bad,toward_bad,False
baseline[good=above],baseline/0,9,35,bad,toward_bad,False
baseline[good=above],baseline/0,10,35,bad,toward_good,False
baseline[good=above],baseline/0,11,35,bad,toward_bad,False
baseline[good=above],baseline/0,12,35,bad,toward_good,False
baseline[good=above],baseline/0,13,35,bad,toward_bad,False
baseline[good=above],baseline/0,14,35,bad,toward_bad,False
baseline[good=above],baseline/0,15,35,bad,toward_bad,False
baseline[good=above],baseline/0,16,35,bad,toward_good,False
baseline[good=above],baseline/0,17,35,bad,toward_bad,False
baseline[good=above],baseline/0,18,35,bad,toward_bad,False
baseline[good=above],baseline/0,19,35,bad,toward_good,False
baseline[good=above],baseline/0,20,35,bad,toward_bad,False
baseline[good=above],baseline/0,21,35,bad,toward_bad,False
baseline[good=above],baseline/0,22,35,bad,toward_bad,False
baseline[good=above],baseline/0,23,35,bad,toward_good,False
baseline[good=above],baseline/0,24,35,bad,toward_bad,False
baseline[good=above],baseline/0,25,35,bad,toward_good,False
baseline[good=above],baseline/0,26,35,bad,toward_bad,False
baseline[good=above],baseline/0,27,35,bad,toward_good,False
baseline[good=above],baseline/0,28,35,bad,toward_bad,False
baseline[good=above],baseline/0,29,35,bad,toward_good,False
baseline[good=above],baseline/0,30,35,bad,toward_good,False
baseline[good=above],baseline/0,31,35,bad,toward_good,False
baseline[good=above],baseline/0,32,35,bad,toward_bad,False
baseline[good=above],baseline/0,33,35,bad,toward_good,False
baseline[good=above],baseline/0,34,35,bad,,True
baseline[good=below],baseline/0,0,35,good,toward_good,False
baseline[good=below],baseline/0,1,35,good,toward_bad,False
baseline[good=below],baseline/0,2,35,good,toward_good,False
baseline[good=below],baseline/0,3,35,good,toward_good,False
baseline[good=below],baseline/0,4,35,good,toward_bad,False
baseline[good=below],baseline/0,5,35,good,toward_good,False
baseline[good=below],baseline/0,6,35,good,toward_bad,False
baseline[good=below],baseline/0,7,35,good,toward_bad,False
baseline[good=below],baseline/0,8,35,good,toward_good,False
baseline[good=below],baseline/0,9,35,good,toward_good,False
baseline[good=below],baseline/0,10,35,good,toward_bad,False
baseline[good=below],baseline/0,11,35,good,toward_good,False
baseline[good=below],baseline/0,12,35,good,toward_bad,False
baseline[good=below],baseline/0,13,35,good,toward_good,False
baseline[good=below],baseline/0,14,35,good,toward_good,False
baseline[good=below],baseline/0,15,35,good,toward_good,False
baseline[good=below],baseline/0,16,35,good,toward_bad,False
baseline[good=below],baseline/0,17,35,good,toward_good,False
baseline[good=below],baseline/0,18,35,good,toward_good,False
baseline[good=below],baseline/0,19,35,good,toward_bad,False
baseline[good=below],baseline/0,20,35,good,toward_good,False
baseline[good=below],baseline/0,21,35,good,toward_good,False
baseline[good=below],baseline/0,22,35,good,toward_good,False
baseline[good=below],baseline/0,23,35,good,toward_bad,False
baseline[good=below],baseline/0,24,35,good,toward_good,False
baseline[good=below],baseline/0,25,35,good,toward_bad,False
baseline[good=below],baseline/0,26,35,good,toward_good,False
baseline[good=below],baseline/0,27,35,good,toward_bad,False
baseline[good=below],baseline/0,28,35,good,toward_good,False
baseline[good=below],baseline/0,29,35,good,toward_bad,False
baseline[good=below],baseline/0,30,35,good,toward_bad,False
baseline[good=below],baseline/0,31,35,good,toward_bad,False
baseline[good=below],baseline/0,32,35,good,toward_good,False
baseline[good=below],baseline/0,33,35,good,toward_bad,False
baseline[good=below],baseline/0,34,35,good,,True
baseline[good=above],baseline/2,0,43,good,toward_bad,False
baseline[good=above],baseline/2,1,43,bad,toward_good,False
baseline[good=above],baseline/2,2,43,good,toward_bad,False
baseline[good=above],baseline/2,3,43,bad,toward_good,False
baseline[good=above],baseline/2,4,43,good,toward_bad,False
baseline[good=above],baseline/2,5,43,bad,toward_bad,False
baseline[good=above],baseline/2,6,43,bad,toward_good,False
baseline[good=above],baseline/2,7,43,bad,toward_bad,False
