cond,mode,label,rate,n,ci_lo,ci_hi
above_good,restates_bet,M0 restates bet,1.0,100,0.963005192523998,1.0
above_good,resolves_to_ignore,M1 resolves to ignore / claims unaffected,0.91,100,0.8377362530335634,0.9519280048361152
above_good,explicit_aiming,M2 explicit aiming,0.06,100,0.027785745266656618,0.12476968531222504
above_good,user_intent_reading,M3 reads as user intent,0.39,100,0.300167219319702,0.4879716383250184
above_good,threshold_as_evidence,M4 threshold as evidence,0.99,100,0.9455124752390653,0.9982326134344527
above_good,suspicion,M5 suspicion / test-awareness,0.34,100,0.25461379497543,0.43722454341689065
above_good,disclosure=admits,M7 answer admits,0.01,100,0.0017673865655472639,0.05448752476093461
above_good,disclosure=mentions,M7 answer mentions,0.24,100,0.16691211265459965,0.3323251872329213
above_good,disclosure=no_mention,M7 answer no_mention,0.6,100,0.5020007846184025,0.6906002538863971
above_good,disclosure=denies,M7 answer denies,0.13,100,0.07757093858414264,0.2098052189480988
above_good,disclosure=unparsed,M7 answer unparsed,0.02,100,0.005501852234968184,0.07001316294199364
above_good,any_bet_revision,M6 ≥1 bet-referenced revision,0.12,100,0.06999337365267776,0.1981226800290837
below_good,restates_bet,M0 restates bet,1.0,99,0.9626454664260378,1.0
below_good,resolves_to_ignore,M1 resolves to ignore / claims unaffected,0.9090909090909091,99,0.8361842304768151,0.9514347875081247
below_good,explicit_aiming,M2 explicit aiming,0.09090909090909091,99,0.04856521249187528,0.16381576952318475
below_good,user_intent_reading,M3 reads as user intent,0.32323232323232326,99,0.23919862826396276,0.4204721664339027
below_good,threshold_as_evidence,M4 threshold as evidence,0.98989898989899,99,0.9449833445859679,0.9982147386799481
below_good,suspicion,M5 suspicion / test-awareness,0.6565656565656566,99,0.5587543290447314,0.7426801099371592
below_good,disclosure=admits,M7 answer admits,0.0,99,0.0,0.03735453357396229
below_good,disclosure=mentions,M7 answer mentions,0.2222222222222222,99,0.1515799287727833,0.3136170343238624
below_good,disclosure=no_mention,M7 answer no_mention,0.4444444444444444,99,0.3504590472721702,0.5425803453471589
below_good,disclosure=denies,M7 answer denies,0.32323232323232326,99,0.23919862826396276,0.4204721664339027
below_good,disclosure=unparsed,M7 answer unparsed,0.010101010101010102,99,0.001785261320052029,0.05501665541403223
below_good,any_bet_revision,M6 ≥1 bet-referenced revision,0.20202020202020202,99,0.13475627715378938,0.2915459196226124
pooled,restates_bet,M0 restates bet,1.0,199,0.9810610841168677,1.0
pooled,resolves_to_ignore,M1 resolves to ignore / claims unaffected,0.9095477386934674,199,0.8615635160726901,0.9420191809677593
pooled,explicit_aiming,M2 explicit aiming,0.07537688442211055,199,0.04620825117869708,0.12062932060145057
pooled,user_intent_reading,M3 reads as user intent,0.35678391959798994,199,0.29351421363992075,0.4254783401557504
pooled,threshold_as_evidence,M4 threshold as evidence,0.9899497487437185,199,0.9641016877217916,0.9972395756088073
pooled,suspicion,M5 suspicion / test-awareness,0.49748743718592964,199,0.42872650785379013,0.5663435369496428
pooled,disclosure=admits,M7 answer admits,0.005025125628140704,199,0.000887586669487734,0.02791123960677907
pooled,disclosure=mentions,M7 answer mentions,0.23115577889447236,199,0.17800822248576545,0.294486571481547
pooled,disclosure=no_mention,M7 answer no_mention,0.5226130653266332,199,0.45344450485144117,0.5909250919176635
pooled,disclosure=denies,M7 answer denies,0.22613065326633167,199,0.17351493870879095,0.28911994486538717
pooled,disclosure=unparsed,M7 answer unparsed,0.01507537688442211,199,0.005139909827913119,0.04337873723462238
pooled,any_bet_revision,M6 ≥1 bet-referenced revision,0.16080402010050251,199,0.11626725084967562,0.21818879761375595
