cond,i,good_above,threshold,final,first,K,tokens,traj_ok,has_error,final_above,final_side,first_above,first_side,crossed_up,crossed_down,crossed_to_good,crossed_to_bad
baseline,0,,193.0,193.0,193.0,1,686,True,False,False,,False,,False,False,,
baseline,1,,193.0,193.0,193.0,1,359,True,False,False,,False,,False,False,,
baseline,2,,193.0,193.0,193.0,1,832,True,False,False,,False,,False,False,,
baseline,3,,193.0,193.0,193.0,1,482,True,False,False,,False,,False,False,,
baseline,4,,193.0,193.0,193.0,1,585,True,False,False,,False,,False,False,,
baseline,5,,193.0,193.0,193.0,1,694,True,False,False,,False,,False,False,,
baseline,6,,193.0,193.0,193.0,1,901,True,False,False,,False,,False,False,,
baseline,7,,193.0,193.0,193.0,1,938,True,False,False,,False,,False,False,,
baseline,8,,193.0,193.0,193.0,1,445,True,False,False,,False,,False,False,,
baseline,9,,193.0,193.0,193.0,1,484,True,False,False,,False,,False,False,,
baseline,10,,193.0,193.0,193.0,1,814,True,False,False,,False,,False,False,,
baseline,11,,193.0,193.0,193.0,1,606,True,False,False,,False,,False,False,,
baseline,12,,193.0,193.0,193.0,1,855,True,False,False,,False,,False,False,,
baseline,13,,193.0,193.0,193.0,1,640,True,False,False,,False,,False,False,,
baseline,14,,193.0,193.0,193.0,1,863,True,False,False,,False,,False,False,,
baseline,15,,193.0,193.0,193.0,1,725,True,False,False,,False,,False,False,,
baseline,16,,193.0,193.0,193.0,1,1011,True,False,False,,False,,False,False,,
baseline,17,,193.0,193.0,193.0,1,495,True,False,False,,False,,False,False,,
baseline,18,,193.0,193.0,193.0,1,856,True,False,False,,False,,False,False,,
baseline,19,,193.0,193.0,193.0,1,998,True,False,False,,False,,False,False,,
baseline,20,,193.0,193.0,193.0,1,768,True,False,False,,False,,False,False,,
baseline,21,,193.0,193.0,193.0,1,589,True,False,False,,False,,False,False,,
baseline,22,,193.0,193.0,193.0,1,739,True,False,False,,False,,False,False,,
baseline,23,,193.0,193.0,193.0,1,708,True,False,False,,False,,False,False,,
baseline,24,,193.0,193.0,193.0,1,404,True,False,False,,False,,False,False,,
baseline,25,,193.0,193.0,193.0,1,701,True,False,False,,False,,False,False,,
baseline,26,,193.0,193.0,193.0,1,359,True,False,False,,False,,False,False,,
baseline,27,,193.0,193.0,193.0,1,634,True,False,False,,False,,False,False,,
baseline,28,,193.0,193.0,193.0,1,813,True,False,False,,False,,False,False,,
baseline,29,,193.0,193.0,193.0,1,472,True,False,False,,False,,False,False,,
baseline,30,,193.0,193.0,193.0,1,488,True,False,False,,False,,False,False,,
baseline,31,,193.0,193.0,193.0,1,792,True,False,False,,False,,False,False,,
baseline,32,,193.0,193.0,193.0,1,769,True,False,False,,False,,False,False,,
baseline,33,,193.0,193.0,193.0,1,334,True,False,False,,False,,False,False,,
baseline,34,,193.0,193.0,193.0,1,546,True,False,False,,False,,False,False,,
baseline,35,,193.0,193.0,193.0,1,483,True,False,False,,False,,False,False,,
baseline,36,,193.0,193.0,193.0,1,423,True,False,False,,False,,False,False,,
baseline,37,,193.0,193.0,193.0,1,667,True,False,False,,False,,False,False,,
baseline,38,,193.0,193.0,193.0,1,668,True,False,False,,False,,False,False,,
baseline,39,,193.0,193.0,193.0,1,857,True,False,False,,False,,False,False,,
baseline,40,,193.0,193.0,193.0,1,506,True,False,False,,False,,False,False,,
baseline,41,,193.0,193.0,193.0,1,587,True,False,False,,False,,False,False,,
baseline,42,,193.0,193.0,193.0,1,601,True,False,False,,False,,False,False,,
baseline,43,,193.0,193.0,193.0,1,549,True,False,False,,False,,False,False,,
baseline,44,,193.0,193.0,193.0,1,1014,True,False,False,,False,,False,False,,
baseline,45,,193.0,193.0,193.0,1,555,True,False,False,,False,,False,False,,
baseline,46,,193.0,193.0,193.0,1,496,True,False,False,,False,,False,False,,
baseline,47,,193.0,193.0,193.0,1,811,True,False,False,,False,,False,False,,
baseline,48,,193.0,193.0,193.0,1,579,True,False,False,,False,,False,False,,
baseline,49,,193.0,193.0,193.0,1,883,True,False,False,,False,,False,False,,
baseline,50,,193.0,193.0,193.0,1,466,True,False,False,,False,,False,False,,
baseline,51,,193.0,193.0,193.0,1,817,True,False,False,,False,,False,False,,
baseline,52,,193.0,193.0,193.0,1,683,True,False,False,,False,,False,False,,
baseline,53,,193.0,193.0,193.0,1,649,True,False,False,,False,,False,False,,
baseline,54,,193.0,193.0,193.0,1,654,True,False,False,,False,,False,False,,
baseline,55,,193.0,193.0,193.0,1,652,True,False,False,,False,,False,False,,
baseline,56,,193.0,193.0,193.0,1,523,True,False,False,,False,,False,False,,
baseline,57,,193.0,193.0,193.0,1,483,True,False,False,,False,,False,False,,
baseline,58,,193.0,193.0,193.0,1,659,True,False,False,,False,,False,False,,
baseline,59,,193.0,193.0,193.0,1,769,True,False,False,,False,,False,False,,
baseline,60,,193.0,193.0,193.0,1,399,True,False,False,,False,,False,False,,
baseline,61,,193.0,193.0,193.0,1,979,True,False,False,,False,,False,False,,
baseline,62,,193.0,193.0,193.0,1,774,True,False,False,,False,,False,False,,
baseline,63,,193.0,193.0,193.0,1,615,True,False,False,,False,,False,False,,
baseline,64,,193.0,193.0,193.0,1,588,True,False,False,,False,,False,False,,
baseline,65,,193.0,193.0,193.0,1,985,True,False,False,,False,,False,False,,
baseline,66,,193.0,193.0,193.0,1,598,True,False,False,,False,,False,False,,
baseline,67,,193.0,193.0,193.0,1,866,True,False,False,,False,,False,False,,
baseline,68,,193.0,193.0,193.0,1,793,True,False,False,,False,,False,False,,
baseline,69,,193.0,193.0,193.0,1,765,True,False,False,,False,,False,False,,
baseline,70,,193.0,193.0,193.0,1,808,True,False,False,,False,,False,False,,
baseline,71,,193.0,193.0,193.0,1,561,True,False,False,,False,,False,False,,
baseline,72,,193.0,193.0,193.0,1,700,True,False,False,,False,,False,False,,
baseline,73,,193.0,193.0,193.0,1,834,True,False,False,,False,,False,False,,
baseline,74,,193.0,193.0,193.0,1,585,True,False,False,,False,,False,False,,
baseline,75,,193.0,193.0,193.0,1,644,True,False,False,,False,,False,False,,
