group,value,n_above,n_below,p_above_given_above_good,ci_a,p_above_given_below_good,ci_b,diff,diff_ci,p_fav,p_fav_ci,bias
all,,97,99,0.8144329896907216,"(0.7256371515932133, 0.8792719335462529)",0.21212121212121213,"(0.14313429916193274, 0.30261528077459104)",0.6023117775695095,"(0.4800531084036238, 0.7045714880766427)",0.8010204081632653,"(0.7395794347751132, 0.850888215603987)",0.6020408163265305
restates_bet,present,97,99,0.8144329896907216,"(0.7256371515932133, 0.8792719335462529)",0.21212121212121213,"(0.14313429916193274, 0.30261528077459104)",0.6023117775695095,"(0.4800531084036238, 0.7045714880766427)",0.8010204081632653,"(0.7395794347751132, 0.850888215603987)",0.6020408163265305
restates_bet,absent,0,0,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",
resolves_to_ignore,present,96,96,0.8125,"(0.7229756303456031, 0.8779762774763871)",0.21875,"(0.1477623624877523, 0.3113809204724567)",0.59375,"(0.46875000000000006, 0.7083333333333334)",0.796875,"(0.73440317870563, 0.8476999086874468)",0.59375
resolves_to_ignore,absent,1,3,1.0,"(0.20654329147389294, 1.0)",0.0,"(0.0, 0.5615060804490177)",1.0,"(1.0, 1.0)",1.0,"(0.5100999795960008, 1.0)",1.0
explicit_aiming,present,22,49,0.9090909090909091,"(0.7218461934161421, 0.9747051037171623)",0.061224489795918366,"(0.021039764955529193, 0.16520743422087725)",0.8478664192949907,"(0.6910946196660482, 0.9591836734693877)",0.9295774647887324,"(0.8455078823270786, 0.9695468465937356)",0.8591549295774648
explicit_aiming,absent,75,50,0.7866666666666666,"(0.6811982171013852, 0.86419913657992)",0.36,"(0.24138562967182875, 0.4985923798969805)",0.42666666666666664,"(0.25333333333333335, 0.5734999999999991)",0.728,"(0.6440633335940313, 0.7983403621067361)",0.45599999999999996
user_intent_reading,present,63,68,0.873015873015873,"(0.7689273848938225, 0.9342275365921983)",0.2647058823529412,"(0.17449602975254203, 0.3800795921712459)",0.6083099906629319,"(0.4759278711484594, 0.7406629318394025)",0.8015267175572519,"(0.7250688807373158, 0.8608037283091505)",0.6030534351145038
user_intent_reading,absent,34,31,0.7058823529411765,"(0.5383077411853625, 0.8316554739006805)",0.0967741935483871,"(0.033464036094643976, 0.2490028999817704)",0.6091081593927894,"(0.42409867172675525, 0.7884962049335859)",0.8,"(0.6872963771070257, 0.8792215422905478)",0.6000000000000001
threshold_as_evidence,present,96,99,0.8229166666666666,"(0.7345877787621297, 0.8863958593205933)",0.21212121212121213,"(0.14313429916193274, 0.30261528077459104)",0.6107954545454545,"(0.49809816919191924, 0.7140151515151516)",0.8051282051282052,"(0.7438618501720523, 0.8546044667354762)",0.6102564102564103
threshold_as_evidence,absent,1,0,0.0,"(0.0, 0.7934567085261071)",,"(nan, nan)",,"(nan, nan)",0.0,"(0.0, 0.7934567085261071)",-1.0
suspicion,present,66,52,0.8333333333333334,"(0.725691875924257, 0.9043051459080035)",0.25,"(0.15233011761438867, 0.38206717759205233)",0.5833333333333334,"(0.4335664335664336, 0.7249417249417249)",0.7966101694915254,"(0.7151753531939933, 0.8593410681268036)",0.5932203389830508
suspicion,absent,31,47,0.7741935483870968,"(0.6018723994130262, 0.886050084055012)",0.1702127659574468,"(0.08886258091263928, 0.30140051072885116)",0.6039807824296499,"(0.41111873713109126, 0.7748798901853123)",0.8076923076923077,"(0.7066498081657022, 0.8798489895117626)",0.6153846153846154
disclosure=admits,admits,0,0,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",
disclosure=mentions,mentions,33,42,0.8484848484848485,"(0.6907978686153953, 0.9334964074203904)",0.14285714285714285,"(0.06715875684189934, 0.2784138235217878)",0.7056277056277056,"(0.5367965367965368, 0.8571428571428572)",0.8533333333333334,"(0.7561502569307123, 0.9160836906299664)",0.7066666666666668
disclosure=no_mention,no_mention,60,41,0.7833333333333333,"(0.6637973165265748, 0.8687707895359299)",0.21951219512195122,"(0.12003040155386345, 0.36705302098235293)",0.5638211382113821,"(0.3970833333333334, 0.7268597560975609)",0.7821782178217822,"(0.6921530633345883, 0.85152425559225)",0.5643564356435644
disclosure=denies,denies,4,16,1.0,"(0.5100999795960008, 1.0)",0.375,"(0.18480982554752803, 0.6135935290206519)",0.625,"(0.375, 0.8125)",0.7,"(0.4810232237710205, 0.8545247260310062)",0.3999999999999999
any_bet_revision,present,54,76,0.8518518518518519,"(0.733996325347515, 0.9229702869177059)",0.15789473684210525,"(0.09269405994267452, 0.25601638674176064)",0.6939571150097466,"(0.5672514619883041, 0.807504873294347)",0.8461538461538461,"(0.7742897829352685, 0.8981468884733219)",0.6923076923076923
any_bet_revision,absent,43,23,0.7674418604651163,"(0.6225519170056059, 0.8684646153075517)",0.391304347826087,"(0.22157377982382145, 0.5921482039625401)",0.37613751263902934,"(0.13844792719919105, 0.5995955510616784)",0.7121212121212122,"(0.5936252235584776, 0.8072819721529609)",0.4242424242424243
