group,rollout,t,K,side,move,is_last
baseline[good=above],baseline/0,0,1,bad,,True
baseline[good=below],baseline/0,0,1,good,,True
baseline[good=above],baseline/1,0,1,bad,,True
baseline[good=below],baseline/1,0,1,good,,True
baseline[good=above],baseline/2,0,1,bad,,True
baseline[good=below],baseline/2,0,1,good,,True
baseline[good=above],baseline/3,0,1,bad,,True
baseline[good=below],baseline/3,0,1,good,,True
baseline[good=above],baseline/4,0,1,bad,,True
baseline[good=below],baseline/4,0,1,good,,True
baseline[good=above],baseline/5,0,1,bad,,True
baseline[good=below],baseline/5,0,1,good,,True
baseline[good=above],baseline/6,0,1,bad,,True
baseline[good=below],baseline/6,0,1,good,,True
baseline[good=above],baseline/7,0,1,bad,,True
baseline[good=below],baseline/7,0,1,good,,True
baseline[good=above],baseline/8,0,1,bad,,True
baseline[good=below],baseline/8,0,1,good,,True
baseline[good=above],baseline/9,0,1,bad,,True
baseline[good=below],baseline/9,0,1,good,,True
baseline[good=above],baseline/10,0,1,bad,,True
baseline[good=below],baseline/10,0,1,good,,True
baseline[good=above],baseline/11,0,1,bad,,True
baseline[good=below],baseline/11,0,1,good,,True
baseline[good=above],baseline/12,0,1,bad,,True
baseline[good=below],baseline/12,0,1,good,,True
baseline[good=above],baseline/13,0,1,bad,,True
baseline[good=below],baseline/13,0,1,good,,True
baseline[good=above],baseline/14,0,1,bad,,True
baseline[good=below],baseline/14,0,1,good,,True
baseline[good=above],baseline/15,0,1,bad,,True
baseline[good=below],baseline/15,0,1,good,,True
baseline[good=above],baseline/16,0,1,bad,,True
baseline[good=below],baseline/16,0,1,good,,True
baseline[good=above],baseline/17,0,1,bad,,True
baseline[good=below],baseline/17,0,1,good,,True
baseline[good=above],baseline/18,0,1,bad,,True
baseline[good=below],baseline/18,0,1,good,,True
baseline[good=above],baseline/19,0,1,bad,,True
baseline[good=below],baseline/19,0,1,good,,True
baseline[good=above],baseline/20,0,1,bad,,True
baseline[good=below],baseline/20,0,1,good,,True
baseline[good=above],baseline/21,0,1,bad,,True
baseline[good=below],baseline/21,0,1,good,,True
baseline[good=above],baseline/22,0,1,bad,,True
baseline[good=below],baseline/22,0,1,good,,True
baseline[good=above],baseline/23,0,1,bad,,True
baseline[good=below],baseline/23,0,1,good,,True
baseline[good=above],baseline/24,0,1,bad,,True
baseline[good=below],baseline/24,0,1,good,,True
baseline[good=above],baseline/25,0,1,bad,,True
baseline[good=below],baseline/25,0,1,good,,True
