group,rollout,t,K,side,move,is_last
baseline[good=above],baseline/0,0,1,good,,True
baseline[good=below],baseline/0,0,1,bad,,True
baseline[good=above],baseline/1,0,2,bad,toward_bad,False
baseline[good=above],baseline/1,1,2,bad,,True
baseline[good=below],baseline/1,0,2,good,toward_good,False
baseline[good=below],baseline/1,1,2,good,,True
baseline[good=above],baseline/4,0,19,bad,toward_bad,False
baseline[good=above],baseline/4,1,19,bad,toward_good,False
baseline[good=above],baseline/4,2,19,bad,toward_good,False
baseline[good=above],baseline/4,3,19,bad,toward_good,False
baseline[good=above],baseline/4,4,19,bad,toward_good,False
baseline[good=above],baseline/4,5,19,bad,toward_bad,False
baseline[good=above],baseline/4,6,19,bad,toward_bad,False
baseline[good=above],baseline/4,7,19,bad,toward_good,False
baseline[good=above],baseline/4,8,19,bad,toward_good,False
baseline[good=above],baseline/4,9,19,bad,toward_bad,False
baseline[good=above],baseline/4,10,19,bad,toward_bad,False
baseline[good=above],baseline/4,11,19,bad,toward_good,False
baseline[good=above],baseline/4,12,19,bad,toward_good,False
baseline[good=above],baseline/4,13,19,bad,toward_bad,False
baseline[good=above],baseline/4,14,19,bad,toward_good,False
baseline[good=above],baseline/4,15,19,bad,toward_good,False
baseline[good=above],baseline/4,16,19,bad,toward_good,False
baseline[good=above],baseline/4,17,19,bad,toward_bad,False
baseline[good=above],baseline/4,18,19,bad,,True
baseline[good=below],baseline/4,0,19,good,toward_good,False
baseline[good=below],baseline/4,1,19,good,toward_bad,False
baseline[good=below],baseline/4,2,19,good,toward_bad,False
baseline[good=below],baseline/4,3,19,good,toward_bad,False
baseline[good=below],baseline/4,4,19,good,toward_bad,False
baseline[good=below],baseline/4,5,19,good,toward_good,False
baseline[good=below],baseline/4,6,19,good,toward_good,False
baseline[good=below],baseline/4,7,19,good,toward_bad,False
baseline[good=below],baseline/4,8,19,good,toward_bad,False
baseline[good=below],baseline/4,9,19,good,toward_good,False
baseline[good=below],baseline/4,10,19,good,toward_good,False
baseline[good=below],baseline/4,11,19,good,toward_bad,False
baseline[good=below],baseline/4,12,19,good,toward_bad,False
baseline[good=below],baseline/4,13,19,good,toward_good,False
baseline[good=below],baseline/4,14,19,good,toward_bad,False
baseline[good=below],baseline/4,15,19,good,toward_bad,False
baseline[good=below],baseline/4,16,19,good,toward_bad,False
baseline[good=below],baseline/4,17,19,good,toward_good,False
baseline[good=below],baseline/4,18,19,good,,True
baseline[good=above],baseline/5,0,32,bad,toward_bad,False
baseline[good=above],baseline/5,1,32,bad,toward_good,False
baseline[good=above],baseline/5,2,32,bad,toward_bad,False
baseline[good=above],baseline/5,3,32,bad,toward_bad,False
baseline[good=above],baseline/5,4,32,bad,toward_good,False
baseline[good=above],baseline/5,5,32,bad,toward_bad,False
baseline[good=above],baseline/5,6,32,bad,toward_good,False
baseline[good=above],baseline/5,7,32,bad,toward_good,False
baseline[good=above],baseline/5,8,32,bad,toward_bad,False
baseline[good=above],baseline/5,9,32,bad,toward_good,False
baseline[good=above],baseline/5,10,32,bad,toward_good,False
baseline[good=above],baseline/5,11,32,bad,toward_bad,False
baseline[good=above],baseline/5,12,32,bad,toward_bad,False
baseline[good=above],baseline/5,13,32,bad,toward_bad,False
baseline[good=above],baseline/5,14,32,bad,toward_bad,False
baseline[good=above],baseline/5,15,32,bad,toward_bad,False
baseline[good=above],baseline/5,16,32,bad,toward_bad,False
baseline[good=above],baseline/5,17,32,bad,toward_good,False
baseline[good=above],baseline/5,18,32,bad,toward_bad,False
baseline[good=above],baseline/5,19,32,bad,toward_good,False
baseline[good=above],baseline/5,20,32,bad,toward_bad,False
baseline[good=above],baseline/5,21,32,bad,toward_bad,False
baseline[good=above],baseline/5,22,32,bad,toward_bad,False
baseline[good=above],baseline/5,23,32,bad,toward_bad,False
baseline[good=above],baseline/5,24,32,bad,toward_good,False
baseline[good=above],baseline/5,25,32,bad,toward_bad,False
baseline[good=above],baseline/5,26,32,bad,toward_good,False
baseline[good=above],baseline/5,27,32,bad,toward_bad,False
baseline[good=above],baseline/5,28,32,bad,toward_good,False
baseline[good=above],baseline/5,29,32,bad,toward_bad,False
baseline[good=above],baseline/5,30,32,bad,toward_good,False
baseline[good=above],baseline/5,31,32,bad,,True
baseline[good=below],baseline/5,0,32,good,toward_good,False
baseline[good=below],baseline/5,1,32,good,toward_bad,False
baseline[good=below],baseline/5,2,32,good,toward_good,False
baseline[good=below],baseline/5,3,32,good,toward_good,False
baseline[good=below],baseline/5,4,32,good,toward_bad,False
baseline[good=below],baseline/5,5,32,good,toward_good,False
baseline[good=below],baseline/5,6,32,good,toward_bad,False
baseline[good=below],baseline/5,7,32,good,toward_bad,False
