group,side,metric,p,k,n_steps,n_rollouts,ci_lo,ci_hi
above_good,bad,P(toward_good | on bad side),0.7464788732394366,159.0,213.0,29.0,0.6990265163378223,0.8140757358219669
above_good,good,P(toward_bad | on good side),0.5800524934383202,221.0,381.0,45.0,0.5346543451817813,0.6312540064102564
baseline[good=above],bad,P(toward_good | on bad side),0.5134615384615384,267.0,520.0,38.0,0.4797717901815899,0.5509721121458292
baseline[good=above],good,P(toward_bad | on good side),0.4811320754716981,204.0,424.0,33.0,0.4543651845008802,0.5161378943637008
baseline[good=below],bad,P(toward_good | on bad side),0.4811320754716981,204.0,424.0,33.0,0.4543651845008802,0.5161378943637008
baseline[good=below],good,P(toward_bad | on good side),0.5134615384615384,267.0,520.0,38.0,0.4797717901815899,0.5509721121458292
below_good,bad,P(toward_good | on bad side),0.6559485530546624,204.0,311.0,44.0,0.6029839771729587,0.7148252435586766
below_good,good,P(toward_bad | on good side),0.6270022883295194,274.0,437.0,55.0,0.5820593812130287,0.6741693994946508
above_good,both,asymmetry: P(toward good|bad) - P(toward bad|good),0.1664263798011164,,,,,
baseline[good=above],both,asymmetry: P(toward good|bad) - P(toward bad|good),0.032329462989840296,,,,,
baseline[good=below],both,asymmetry: P(toward good|bad) - P(toward bad|good),-0.032329462989840296,,,,,
below_good,both,asymmetry: P(toward good|bad) - P(toward bad|good),0.028946264725142945,,,,,
