group,side,metric,p,k,n_steps,n_rollouts,ci_lo,ci_hi
above_good,bad,P(toward_good | on bad side),0.6918767507002801,247.0,357.0,42.0,0.6343985311889933,0.7565302642796249
above_good,good,P(toward_bad | on good side),0.6319702602230484,170.0,269.0,37.0,0.5708793326754656,0.698184169278997
baseline[good=above],bad,P(toward_good | on bad side),0.5134615384615384,267.0,520.0,38.0,0.4797717901815899,0.5509721121458292
baseline[good=above],good,P(toward_bad | on good side),0.4811320754716981,204.0,424.0,33.0,0.4543651845008802,0.5161378943637008
baseline[good=below],bad,P(toward_good | on bad side),0.4811320754716981,204.0,424.0,33.0,0.4543651845008802,0.5161378943637008
baseline[good=below],good,P(toward_bad | on good side),0.5134615384615384,267.0,520.0,38.0,0.4797717901815899,0.5509721121458292
below_good,bad,P(toward_good | on bad side),0.5979381443298969,116.0,194.0,34.0,0.5473983990147784,0.6590940832910106
below_good,good,P(toward_bad | on good side),0.6067415730337079,108.0,178.0,27.0,0.5336701208981002,0.6899233269015944
above_good,both,asymmetry: P(toward good|bad) - P(toward bad|good),0.05990649047723173,,,,,
baseline[good=above],both,asymmetry: P(toward good|bad) - P(toward bad|good),0.032329462989840296,,,,,
baseline[good=below],both,asymmetry: P(toward good|bad) - P(toward bad|good),-0.032329462989840296,,,,,
below_good,both,asymmetry: P(toward good|bad) - P(toward bad|good),-0.008803428703811012,,,,,
