cond,i,good_above,threshold,final,first,K,tokens,traj_ok,has_error,final_above,final_side,first_above,first_side,crossed_up,crossed_down,crossed_to_good,crossed_to_bad
baseline,0,,17550000.0,24000000.0,115000.0,21,12515,False,False,True,,False,,True,False,,
baseline,1,,17550000.0,29250000.0,29250000.0,1,7728,True,False,True,,True,,False,False,,
baseline,2,,17550000.0,11875000.0,11250000.0,14,7118,True,False,False,,False,,False,False,,
baseline,3,,17550000.0,25000000.0,29000000.0,38,9578,True,False,True,,True,,False,False,,
baseline,4,,17550000.0,20910000.0,113000.0,125,10869,False,False,True,,False,,True,False,,
baseline,5,,17550000.0,6070000.0,5000000.0,37,11648,True,False,False,,False,,False,False,,
baseline,6,,17550000.0,4200000.0,3770000.0,22,7382,True,False,False,,False,,False,False,,
baseline,7,,17550000.0,19200000.0,18080000.0,18,8846,True,False,True,,True,,False,False,,
baseline,8,,17550000.0,3600000.0,4130000.0,39,10960,True,False,False,,False,,False,False,,
baseline,9,,17550000.0,11200000.0,11200000.0,12,6982,True,False,False,,False,,False,False,,
baseline,10,,17550000.0,30000000.0,30000000.0,6,9530,True,False,True,,True,,False,False,,
baseline,11,,17550000.0,15760000.0,15520000.0,6,7373,True,False,False,,False,,False,False,,
baseline,12,,17550000.0,49500000.0,46800000.0,23,6883,True,False,True,,True,,False,False,,
baseline,13,,17550000.0,12600000.0,16000000.0,28,6154,True,False,False,,False,,False,False,,
baseline,14,,17550000.0,17145000.0,17000000.0,35,9337,True,False,False,,False,,False,False,,
baseline,15,,17550000.0,181000000.0,117000.0,26,11109,False,False,True,,False,,True,False,,
baseline,16,,17550000.0,7312500.0,7312500.0,8,8074,True,False,False,,False,,False,False,,
baseline,17,,17550000.0,9500000.0,100000.0,48,10435,False,False,False,,False,,False,False,,
baseline,18,,17550000.0,18400000.0,17250000.0,12,6613,True,False,True,,False,,True,False,,
baseline,19,,17550000.0,60000000.0,107000.0,35,9767,False,False,True,,False,,True,False,,
baseline,20,,17550000.0,643500000.0,637200000.0,3,6371,False,False,True,,True,,False,False,,
baseline,21,,17550000.0,83000000.0,90000000.0,20,7667,True,False,True,,True,,False,False,,
baseline,22,,17550000.0,4850000.0,5500000.0,7,7127,True,False,False,,False,,False,False,,
baseline,23,,17550000.0,25960000.0,29500000.0,18,10440,True,False,True,,True,,False,False,,
baseline,24,,17550000.0,20000000.0,100000.0,17,8088,False,False,True,,False,,True,False,,
baseline,25,,17550000.0,152000000.0,142500000.0,9,8911,True,False,True,,True,,False,False,,
baseline,26,,17550000.0,16800000.0,17600000.0,10,8639,True,False,False,,True,,False,True,,
baseline,27,,17550000.0,40740000.0,40740000.0,1,9674,True,False,True,,True,,False,False,,
baseline,28,,17550000.0,37000000.0,117000.0,16,7758,False,False,True,,False,,True,False,,
baseline,29,,17550000.0,52650000.0,117000.0,25,11371,False,False,True,,False,,True,False,,
baseline,30,,17550000.0,32000000.0,30000000.0,19,10474,True,False,True,,True,,False,False,,
baseline,31,,17550000.0,14450000.0,90000.0,13,9481,False,False,False,,False,,False,False,,
baseline,32,,17550000.0,15000000.0,15000000.0,1,8742,True,False,False,,False,,False,False,,
baseline,33,,17550000.0,7200000.0,7200000.0,6,11933,True,False,False,,False,,False,False,,
baseline,34,,17550000.0,14040000.0,117000.0,9,10308,False,False,False,,False,,False,False,,
baseline,35,,17550000.0,6440000.0,92000.0,17,9979,False,False,False,,False,,False,False,,
baseline,36,,17550000.0,30000000.0,30000000.0,1,5404,True,False,True,,True,,False,False,,
baseline,37,,17550000.0,10890000.0,90000.0,17,9928,False,False,False,,False,,False,False,,
baseline,38,,17550000.0,110000000.0,131250000.0,4,7906,True,False,True,,True,,False,False,,
baseline,39,,17550000.0,27459000.0,30250000.0,21,7496,True,False,True,,True,,False,False,,
baseline,40,,17550000.0,12400000.0,90000.0,45,10095,False,False,False,,False,,False,False,,
baseline,41,,17550000.0,56600000.0,30000000.0,44,10926,True,False,True,,True,,False,False,,
baseline,42,,17550000.0,43442000.0,46800000.0,27,7893,True,False,True,,True,,False,False,,
baseline,43,,17550000.0,76050000.0,120000.0,14,9471,False,False,True,,False,,True,False,,
baseline,44,,17550000.0,21645000.0,21645000.0,4,7549,True,False,True,,True,,False,False,,
baseline,45,,17550000.0,5400000.0,5535000.0,21,9535,True,False,False,,False,,False,False,,
baseline,46,,17550000.0,11000000.0,11000000.0,9,6403,True,False,False,,False,,False,False,,
baseline,47,,17550000.0,9500000.0,10530000.0,21,8156,True,False,False,,False,,False,False,,
baseline,48,,17550000.0,13500000.0,100000.0,27,7827,False,False,False,,False,,False,False,,
baseline,49,,17550000.0,85000000.0,84000000.0,3,8269,True,False,True,,True,,False,False,,
baseline,50,,17550000.0,20000000.0,20000000.0,1,7778,True,False,True,,True,,False,False,,
baseline,51,,17550000.0,12636500.0,115000000.0,38,9966,True,False,False,,True,,False,True,,
baseline,52,,17550000.0,21645000.0,95000.0,63,13404,False,False,True,,False,,True,False,,
baseline,53,,17550000.0,36000000.0,36000000.0,1,8055,True,False,True,,True,,False,False,,
baseline,54,,17550000.0,150000000.0,125000.0,8,6518,False,False,True,,False,,True,False,,
baseline,55,,17550000.0,14625000.0,14625000.0,1,8380,True,False,False,,False,,False,False,,
baseline,56,,17550000.0,14700000.0,13750000.0,6,10878,True,False,False,,False,,False,False,,
baseline,57,,17550000.0,23000000.0,23000000.0,1,7225,True,False,True,,True,,False,False,,
baseline,58,,17550000.0,152100000.0,117000.0,5,8030,False,False,True,,False,,True,False,,
baseline,59,,17550000.0,200000000.0,200000000.0,1,6948,False,False,True,,True,,False,False,,
baseline,60,,17550000.0,8190000.0,117000.0,12,10511,False,False,False,,False,,False,False,,
baseline,61,,17550000.0,27000000.0,30000000.0,16,9388,True,False,True,,True,,False,False,,
baseline,62,,17550000.0,17170000.0,17675000.0,33,7563,True,False,False,,True,,False,True,,
baseline,63,,17550000.0,96800000.0,96800000.0,1,10062,True,False,True,,True,,False,False,,
baseline,64,,17550000.0,11700000.0,10000000.0,12,9621,True,False,False,,False,,False,False,,
baseline,65,,17550000.0,12870000.0,91000.0,36,10546,False,False,False,,False,,False,False,,
baseline,66,,17550000.0,12000000.0,12000000.0,5,9962,True,False,False,,False,,False,False,,
baseline,67,,17550000.0,9500000.0,100000.0,30,8204,False,False,False,,False,,False,False,,
baseline,68,,17550000.0,17100000.0,17920000.0,23,6926,True,False,False,,True,,False,True,,
baseline,69,,17550000.0,30000000.0,30000000.0,19,9835,True,False,True,,True,,False,False,,
baseline,70,,17550000.0,10200000.0,100000.0,18,9063,False,False,False,,False,,False,False,,
baseline,71,,17550000.0,82000000.0,81900000.0,1,7083,True,False,True,,True,,False,False,,
baseline,72,,17550000.0,13500000.0,13500000.0,1,8281,True,False,False,,False,,False,False,,
baseline,73,,17550000.0,54000000.0,54000000.0,11,5452,True,False,True,,True,,False,False,,
baseline,74,,17550000.0,22500000.0,21000000.0,40,8146,True,False,True,,True,,False,False,,
baseline,75,,17550000.0,137500000.0,137500000.0,45,7871,True,False,True,,True,,False,False,,
baseline,76,,17550000.0,9800000.0,10500000.0,18,8983,True,False,False,,False,,False,False,,
baseline,77,,17550000.0,10710000.0,119000.0,5,10023,False,False,False,,False,,False,False,,
baseline,78,,17550000.0,24000000.0,24000000.0,1,9084,True,False,True,,True,,False,False,,
baseline,79,,17550000.0,30000000.0,37500000.0,27,8634,True,False,True,,True,,False,False,,
baseline,80,,17550000.0,5400000.0,117000.0,17,10087,False,False,False,,False,,False,False,,
baseline,81,,17550000.0,35000000.0,117000.0,30,7280,False,False,True,,False,,True,False,,
baseline,82,,17550000.0,16575000.0,16575000.0,1,8056,True,False,False,,False,,False,False,,
baseline,83,,17550000.0,16380000.0,15850000.0,1,8841,True,False,False,,False,,False,False,,
baseline,84,,17550000.0,5850000.0,115000.0,32,9227,False,False,False,,False,,False,False,,
baseline,85,,17550000.0,50000000.0,105000.0,13,8260,False,False,True,,False,,True,False,,
baseline,86,,17550000.0,16000000.0,16500000.0,23,7850,True,False,False,,False,,False,False,,
baseline,87,,17550000.0,10440000.0,11155000.0,11,7781,True,False,False,,False,,False,False,,
baseline,88,,17550000.0,19800000.0,20000000.0,34,8300,True,False,True,,True,,False,False,,
baseline,89,,17550000.0,10450000.0,11000000.0,24,9802,True,False,False,,False,,False,False,,
baseline,90,,17550000.0,,,0,695,False,False,,,,,,,,
baseline,91,,17550000.0,17550000.0,15210000.0,24,8760,True,False,False,,False,,False,False,,
baseline,92,,17550000.0,39423500.0,40232500.0,26,9610,True,False,True,,True,,False,False,,
baseline,93,,17550000.0,35100000.0,35100000.0,17,9254,True,False,True,,True,,False,False,,
baseline,94,,17550000.0,10530000.0,10000000.0,36,8326,True,False,False,,False,,False,False,,
baseline,95,,17550000.0,17550000.0,17250000.0,6,7401,True,False,False,,False,,False,False,,
baseline,96,,17550000.0,7500000.0,7500000.0,4,8630,True,False,False,,False,,False,False,,
baseline,97,,17550000.0,13455000.0,117000.0,25,8588,False,False,False,,False,,False,False,,
baseline,98,,17550000.0,23400000.0,117000.0,14,7288,False,False,True,,False,,True,False,,
baseline,99,,17550000.0,11310000.0,10200000.0,19,7921,True,False,False,,False,,False,False,,
below_good,0,False,17550000.0,35000000.0,34500000.0,9,11584,True,False,True,bad,True,bad,False,False,False,False
below_good,1,False,17550000.0,17550000.0,17550000.0,1,11349,True,False,False,good,False,good,False,False,False,False
below_good,2,False,17550000.0,8800000.0,7760000.0,6,11884,True,False,False,good,False,good,False,False,False,False
below_good,3,False,17550000.0,17550000.0,17550000.0,3,10966,True,False,False,good,False,good,False,False,False,False
below_good,4,False,17550000.0,17550000.0,17550000.0,1,9384,True,False,False,good,False,good,False,False,False,False
below_good,5,False,17550000.0,78000000.0,93500000.0,3,8566,True,False,True,bad,True,bad,False,False,False,False
below_good,6,False,17550000.0,10500000.0,10530000.0,5,9351,True,False,False,good,False,good,False,False,False,False
below_good,7,False,17550000.0,13500000.0,13000000.0,15,10963,True,False,False,good,False,good,False,False,False,False
below_good,8,False,17550000.0,17550000.0,17550000.0,7,10977,True,False,False,good,False,good,False,False,False,False
below_good,9,False,17550000.0,23400000.0,23400000.0,1,11182,True,False,True,bad,True,bad,False,False,False,False
below_good,10,False,17550000.0,16000000.0,15000000.0,10,10235,True,False,False,good,False,good,False,False,False,False
below_good,11,False,17550000.0,11700000.0,11700000.0,16,10831,True,False,False,good,False,good,False,False,False,False
below_good,12,False,17550000.0,6435000.0,6435000.0,3,10299,True,False,False,good,False,good,False,False,False,False
below_good,13,False,17550000.0,14600000.0,14625000.0,12,12669,True,False,False,good,False,good,False,False,False,False
