group,value,cond,n,p_cross_to_good,ci_good,p_cross_to_bad,ci_bad,asymmetry
all,,above_good,100,0.0,"(0.0, 0.03699480747600191)",0.0,"(0.0, 0.03699480747600191)",0.0
all,,below_good,99,0.030303030303030304,"(0.010358451889070861, 0.08533823116525735)",0.0,"(0.0, 0.03735453357396229)",0.030303030303030304
all,,pooled,199,0.01507537688442211,"(0.005139909827913119, 0.04337873723462238)",0.0,"(0.0, 0.018938915883132453)",0.01507537688442211
restates_bet,True,above_good,100,0.0,"(0.0, 0.03699480747600191)",0.0,"(0.0, 0.03699480747600191)",0.0
restates_bet,True,below_good,99,0.030303030303030304,"(0.010358451889070861, 0.08533823116525735)",0.0,"(0.0, 0.03735453357396229)",0.030303030303030304
restates_bet,True,pooled,199,0.01507537688442211,"(0.005139909827913119, 0.04337873723462238)",0.0,"(0.0, 0.018938915883132453)",0.01507537688442211
resolves_to_ignore,True,above_good,91,0.0,"(0.0, 0.04050543221539915)",0.0,"(0.0, 0.04050543221539915)",0.0
resolves_to_ignore,True,below_good,90,0.022222222222222223,"(0.006115313794863607, 0.07744677380807581)",0.0,"(0.0, 0.04093706842168078)",0.022222222222222223
resolves_to_ignore,True,pooled,181,0.011049723756906077,"(0.0030354180469482025, 0.03938793254079827)",0.0,"(0.0, 0.02078320031854301)",0.011049723756906077
explicit_aiming,True,above_good,6,0.0,"(0.0, 0.3903430336530645)",0.0,"(0.0, 0.3903430336530645)",0.0
explicit_aiming,True,below_good,9,0.2222222222222222,"(0.0632237623122272, 0.5474166563271946)",0.0,"(0.0, 0.2991527535509594)",0.2222222222222222
explicit_aiming,True,pooled,15,0.13333333333333333,"(0.037360469891359285, 0.3788249920651624)",0.0,"(0.0, 0.20388926630434784)",0.13333333333333333
user_intent_reading,True,above_good,39,0.0,"(0.0, 0.08966985360023902)",0.0,"(0.0, 0.08966985360023902)",0.0
user_intent_reading,True,below_good,32,0.03125,"(0.005537717362550956, 0.15744607800372734)",0.0,"(0.0, 0.1071827150573635)",0.03125
user_intent_reading,True,pooled,71,0.014084507042253521,"(0.002490539134778199, 0.0755623084793829)",0.0,"(0.0, 0.05132974174790491)",0.014084507042253521
threshold_as_evidence,True,above_good,99,0.0,"(0.0, 0.03735453357396229)",0.0,"(0.0, 0.03735453357396229)",0.0
threshold_as_evidence,True,below_good,98,0.030612244897959183,"(0.010464701465554673, 0.08617164360365084)",0.0,"(0.0, 0.037721324095458045)",0.030612244897959183
threshold_as_evidence,True,pooled,197,0.015228426395939087,"(0.00519222584851299, 0.04380957457530359)",0.0,"(0.0, 0.019127511431894586)",0.015228426395939087
suspicion,True,above_good,34,0.0,"(0.0, 0.10151790621961015)",0.0,"(0.0, 0.10151790621961015)",0.0
suspicion,True,below_good,65,0.015384615384615385,"(0.002720874527486619, 0.08213479413797146)",0.0,"(0.0, 0.055803467670710726)",0.015384615384615385
suspicion,True,pooled,99,0.010101010101010102,"(0.001785261320052029, 0.05501665541403223)",0.0,"(0.0, 0.03735453357396229)",0.010101010101010102
restates_bet,False,above_good,0,,"(nan, nan)",,"(nan, nan)",
restates_bet,False,below_good,0,,"(nan, nan)",,"(nan, nan)",
restates_bet,False,pooled,0,,"(nan, nan)",,"(nan, nan)",
resolves_to_ignore,False,above_good,9,0.0,"(0.0, 0.2991527535509594)",0.0,"(0.0, 0.2991527535509594)",0.0
resolves_to_ignore,False,below_good,9,0.1111111111111111,"(0.019890371327130518, 0.4350062147680602)",0.0,"(0.0, 0.2991527535509594)",0.1111111111111111
resolves_to_ignore,False,pooled,18,0.05555555555555555,"(0.009874935830924522, 0.2575779980200754)",0.0,"(0.0, 0.1758845505823749)",0.05555555555555555
explicit_aiming,False,above_good,94,0.0,"(0.0, 0.03926346257624568)",0.0,"(0.0, 0.03926346257624568)",0.0
explicit_aiming,False,below_good,90,0.011111111111111112,"(0.001964033535512348, 0.06028554447679776)",0.0,"(0.0, 0.04093706842168078)",0.011111111111111112
explicit_aiming,False,pooled,184,0.005434782608695652,"(0.0009599929623922174, 0.030138549639459552)",0.0,"(0.0, 0.020451273839234757)",0.005434782608695652
user_intent_reading,False,above_good,61,0.0,"(0.0, 0.05924591620194442)",0.0,"(0.0, 0.05924591620194442)",0.0
user_intent_reading,False,below_good,67,0.029850746268656716,"(0.008224522347453906, 0.1024675004188303)",0.0,"(0.0, 0.05422802421176257)",0.029850746268656716
user_intent_reading,False,pooled,128,0.015625,"(0.00429535970774875, 0.055182073818543405)",0.0,"(0.0, 0.02913799589810803)",0.015625
threshold_as_evidence,False,above_good,1,0.0,"(0.0, 0.7934567085261071)",0.0,"(0.0, 0.7934567085261071)",0.0
threshold_as_evidence,False,below_good,1,0.0,"(0.0, 0.7934567085261071)",0.0,"(0.0, 0.7934567085261071)",0.0
threshold_as_evidence,False,pooled,2,0.0,"(0.0, 0.6576280471103807)",0.0,"(0.0, 0.6576280471103807)",0.0
suspicion,False,above_good,66,0.0,"(0.0, 0.05500446725160935)",0.0,"(0.0, 0.05500446725160935)",0.0
suspicion,False,below_good,34,0.058823529411764705,"(0.01628231306384244, 0.1909393688946371)",0.0,"(0.0, 0.10151790621961015)",0.058823529411764705
suspicion,False,pooled,100,0.02,"(0.005501852234968184, 0.07001316294199364)",0.0,"(0.0, 0.03699480747600191)",0.02
baseline[good=above],,baseline,100,0.0,"(0.0, 0.03699480747600191)",0.01,"(0.0017673865655472639, 0.05448752476093461)",-0.01
baseline[good=below],,baseline,100,0.01,"(0.0017673865655472639, 0.05448752476093461)",0.0,"(0.0, 0.03699480747600191)",0.01
