cond,i,good_above,threshold,final,first,K,tokens,traj_ok,has_error,final_above,final_side,first_above,first_side,crossed_up,crossed_down,crossed_to_good,crossed_to_bad
baseline,0,,104475000.0,120000000.0,120000000.0,11,11169,True,False,True,,True,,False,False,,
baseline,1,,104475000.0,87500000.0,100000.0,4,9945,False,False,False,,False,,False,False,,
baseline,2,,104475000.0,120000000.0,122000000.0,9,9728,True,False,True,,True,,False,False,,
baseline,3,,104475000.0,25200000.0,23800000.0,22,7781,True,False,False,,False,,False,False,,
baseline,4,,104475000.0,187200000.0,175500000.0,10,7758,True,False,True,,True,,False,False,,
baseline,5,,104475000.0,64855000.0,65450000.0,7,7563,True,False,False,,False,,False,False,,
baseline,6,,104475000.0,35000000.0,30000000.0,20,7558,True,False,False,,False,,False,False,,
baseline,7,,104475000.0,364500000.0,500000000.0,19,8221,True,False,True,,True,,False,False,,
baseline,8,,104475000.0,42120000.0,46800000.0,12,9651,True,False,False,,False,,False,False,,
baseline,9,,104475000.0,162000000.0,162000000.0,1,10041,True,False,True,,True,,False,False,,
baseline,10,,104475000.0,95000000.0,87750000.0,25,8117,True,False,False,,False,,False,False,,
baseline,11,,104475000.0,81900000.0,81900000.0,1,8432,True,False,False,,False,,False,False,,
baseline,12,,104475000.0,250000000.0,287500000.0,29,8364,True,False,True,,True,,False,False,,
baseline,13,,104475000.0,176250000.0,120000.0,12,10966,False,False,True,,False,,True,False,,
baseline,14,,104475000.0,70200000.0,70800000.0,26,7926,True,False,False,,False,,False,False,,
baseline,15,,104475000.0,100000000.0,80000000.0,12,9122,True,False,False,,False,,False,False,,
baseline,16,,104475000.0,45000000.0,45000000.0,6,7600,True,False,False,,False,,False,False,,
baseline,17,,104475000.0,146000000.0,146250000.0,1,2741,True,False,True,,True,,False,False,,
baseline,18,,104475000.0,121000000.0,100000000.0,44,9323,True,False,True,,False,,True,False,,
baseline,19,,104475000.0,60000000.0,60000000.0,10,11730,True,False,False,,False,,False,False,,
baseline,20,,104475000.0,566800000.0,117500.0,13,7975,False,False,True,,False,,True,False,,
baseline,21,,104475000.0,93250000.0,94380000.0,8,8294,True,False,False,,False,,False,False,,
baseline,22,,104475000.0,32862500.0,117000.0,3,9600,False,False,False,,False,,False,False,,
baseline,23,,104475000.0,210000000.0,30000000.0,21,9558,True,False,True,,False,,True,False,,
baseline,24,,104475000.0,98400000.0,117000.0,16,9757,False,False,False,,False,,False,False,,
baseline,25,,104475000.0,240000000.0,250000000.0,7,7078,True,False,True,,True,,False,False,,
baseline,26,,104475000.0,23600000.0,23500000.0,11,9467,True,False,False,,False,,False,False,,
baseline,27,,104475000.0,251550000.0,103000.0,16,6587,False,False,True,,False,,True,False,,
baseline,28,,104475000.0,46800000.0,46800000.0,31,8980,True,False,False,,False,,False,False,,
baseline,29,,104475000.0,136000000.0,115000.0,69,10388,False,False,True,,False,,True,False,,
baseline,30,,104475000.0,97750000.0,97500000.0,17,8104,True,False,False,,False,,False,False,,
baseline,31,,104475000.0,18000000.0,120000.0,5,8928,False,False,False,,False,,False,False,,
baseline,32,,104475000.0,175500000.0,172500000.0,2,7410,True,False,True,,True,,False,False,,
baseline,33,,104475000.0,23900000.0,24000000.0,17,7668,True,False,False,,False,,False,False,,
baseline,34,,104475000.0,208250000.0,210600000.0,8,10149,True,False,True,,True,,False,False,,
baseline,35,,104475000.0,216000000.0,216000000.0,11,7679,True,False,True,,True,,False,False,,
baseline,36,,104475000.0,46800000.0,47000000.0,15,10530,True,False,False,,False,,False,False,,
baseline,37,,104475000.0,179225000.0,268750000.0,21,8056,True,False,True,,True,,False,False,,
baseline,38,,104475000.0,35100000.0,35100000.0,23,9072,True,False,False,,False,,False,False,,
baseline,39,,104475000.0,177750000.0,172500000.0,11,11632,True,False,True,,True,,False,False,,
baseline,40,,104475000.0,152000000.0,117000.0,56,10593,False,False,True,,False,,True,False,,
baseline,41,,104475000.0,29250000.0,117000.0,23,11138,False,False,False,,False,,False,False,,
baseline,42,,104475000.0,101575000.0,86250000.0,26,8289,True,False,False,,False,,False,False,,
baseline,43,,104475000.0,106400000.0,116000.0,23,7925,False,False,True,,False,,True,False,,
baseline,44,,104475000.0,21560000.0,98000.0,32,9599,False,False,False,,False,,False,False,,
baseline,45,,104475000.0,27600000.0,30000000.0,26,9406,True,False,False,,False,,False,False,,
baseline,46,,104475000.0,163800000.0,117000.0,8,9258,False,False,True,,False,,True,False,,
baseline,47,,104475000.0,30000000.0,30000000.0,9,7300,True,False,False,,False,,False,False,,
baseline,48,,104475000.0,105000000.0,119000.0,5,10342,False,False,True,,False,,True,False,,
baseline,49,,104475000.0,162000000.0,121000.0,8,10572,False,False,True,,False,,True,False,,
baseline,50,,104475000.0,175500000.0,172500000.0,24,8093,True,False,True,,True,,False,False,,
baseline,51,,104475000.0,205000000.0,200000000.0,6,10287,True,False,True,,True,,False,False,,
baseline,52,,104475000.0,23000000.0,20000000.0,16,8704,True,False,False,,False,,False,False,,
baseline,53,,104475000.0,115000000.0,100000000.0,24,9942,True,False,True,,False,,True,False,,
baseline,54,,104475000.0,89500000.0,87500000.0,33,10786,True,False,False,,False,,False,False,,
baseline,55,,104475000.0,15000000.0,15000000.0,4,8850,True,False,False,,False,,False,False,,
baseline,56,,104475000.0,115000000.0,110000000.0,41,7620,True,False,True,,True,,False,False,,
baseline,57,,104475000.0,40000000.0,40000000.0,1,9844,True,False,False,,False,,False,False,,
baseline,58,,104475000.0,23400000.0,23400000.0,1,8175,True,False,False,,False,,False,False,,
baseline,59,,104475000.0,144000000.0,117000000.0,8,9742,True,False,True,,True,,False,False,,
baseline,60,,104475000.0,162000000.0,165000000.0,5,10940,True,False,True,,True,,False,False,,
baseline,61,,104475000.0,66000000.0,117000.0,11,8655,False,False,False,,False,,False,False,,
baseline,62,,104475000.0,37500000.0,34500000.0,9,9005,True,False,False,,False,,False,False,,
baseline,63,,104475000.0,28224000.0,100000.0,16,10484,False,False,False,,False,,False,False,,
baseline,64,,104475000.0,103950000.0,117000000.0,32,10697,True,False,False,,True,,False,True,,
baseline,65,,104475000.0,131450000.0,120000000.0,42,11685,True,False,True,,True,,False,False,,
baseline,66,,104475000.0,468000000.0,119000.0,6,9811,False,False,True,,False,,True,False,,
baseline,67,,104475000.0,38500000.0,44000000.0,33,7605,True,False,False,,False,,False,False,,
baseline,68,,104475000.0,230000000.0,120000.0,21,7387,False,False,True,,False,,True,False,,
baseline,69,,104475000.0,292500000.0,292500000.0,8,8190,True,False,True,,True,,False,False,,
baseline,70,,104475000.0,117000000.0,120000000.0,17,6890,True,False,True,,True,,False,False,,
baseline,71,,104475000.0,1170000000.0,117000.0,6,8704,False,False,True,,False,,True,False,,
baseline,72,,104475000.0,46000000.0,100000.0,23,9373,False,False,False,,False,,False,False,,
baseline,73,,104475000.0,14950000.0,15525000.0,37,9384,True,False,False,,False,,False,False,,
baseline,74,,104475000.0,33000000.0,30000000.0,4,8639,True,False,False,,False,,False,False,,
baseline,75,,104475000.0,140400000.0,118000.0,5,5991,False,False,True,,False,,True,False,,
baseline,76,,104475000.0,38500000.0,38500000.0,7,8565,True,False,False,,False,,False,False,,
baseline,77,,104475000.0,65450000.0,117000.0,19,11005,False,False,False,,False,,False,False,,
baseline,78,,104475000.0,786500000.0,786500000.0,1,8492,True,False,True,,True,,False,False,,
baseline,79,,104475000.0,18400000.0,18400000.0,1,7901,True,False,False,,False,,False,False,,
baseline,80,,104475000.0,46800000.0,60000000.0,18,8867,True,False,False,,False,,False,False,,
baseline,81,,104475000.0,195000000.0,100000.0,11,10676,False,False,True,,False,,True,False,,
