group,rollout,t,K,side,move,is_last
baseline[good=above],baseline/0,0,11,good,toward_good,False
baseline[good=above],baseline/0,1,11,good,toward_bad,False
baseline[good=above],baseline/0,2,11,good,toward_good,False
baseline[good=above],baseline/0,3,11,good,toward_bad,False
baseline[good=above],baseline/0,4,11,good,toward_bad,False
baseline[good=above],baseline/0,5,11,good,toward_bad,False
baseline[good=above],baseline/0,6,11,good,toward_bad,False
baseline[good=above],baseline/0,7,11,good,toward_good,False
baseline[good=above],baseline/0,8,11,good,toward_bad,False
baseline[good=above],baseline/0,9,11,good,toward_bad,False
baseline[good=above],baseline/0,10,11,good,,True
baseline[good=below],baseline/0,0,11,bad,toward_bad,False
baseline[good=below],baseline/0,1,11,bad,toward_good,False
baseline[good=below],baseline/0,2,11,bad,toward_bad,False
baseline[good=below],baseline/0,3,11,bad,toward_good,False
baseline[good=below],baseline/0,4,11,bad,toward_good,False
baseline[good=below],baseline/0,5,11,bad,toward_good,False
baseline[good=below],baseline/0,6,11,bad,toward_good,False
baseline[good=below],baseline/0,7,11,bad,toward_bad,False
baseline[good=below],baseline/0,8,11,bad,toward_good,False
baseline[good=below],baseline/0,9,11,bad,toward_good,False
baseline[good=below],baseline/0,10,11,bad,,True
baseline[good=above],baseline/2,0,9,good,toward_bad,False
baseline[good=above],baseline/2,1,9,good,toward_bad,False
baseline[good=above],baseline/2,2,9,good,toward_bad,False
baseline[good=above],baseline/2,3,9,good,toward_good,False
baseline[good=above],baseline/2,4,9,good,toward_good,False
baseline[good=above],baseline/2,5,9,good,toward_bad,False
baseline[good=above],baseline/2,6,9,good,toward_bad,False
baseline[good=above],baseline/2,7,9,good,toward_good,False
baseline[good=above],baseline/2,8,9,good,,True
baseline[good=below],baseline/2,0,9,bad,toward_good,False
baseline[good=below],baseline/2,1,9,bad,toward_good,False
baseline[good=below],baseline/2,2,9,bad,toward_good,False
baseline[good=below],baseline/2,3,9,bad,toward_bad,False
baseline[good=below],baseline/2,4,9,bad,toward_bad,False
baseline[good=below],baseline/2,5,9,bad,toward_good,False
baseline[good=below],baseline/2,6,9,bad,toward_good,False
baseline[good=below],baseline/2,7,9,bad,toward_bad,False
baseline[good=below],baseline/2,8,9,bad,,True
baseline[good=above],baseline/3,0,22,bad,toward_good,False
baseline[good=above],baseline/3,1,22,bad,toward_good,False
baseline[good=above],baseline/3,2,22,bad,toward_bad,False
baseline[good=above],baseline/3,3,22,bad,toward_good,False
baseline[good=above],baseline/3,4,22,bad,toward_good,False
baseline[good=above],baseline/3,5,22,bad,toward_bad,False
baseline[good=above],baseline/3,6,22,bad,toward_good,False
baseline[good=above],baseline/3,7,22,bad,toward_bad,False
baseline[good=above],baseline/3,8,22,bad,toward_bad,False
baseline[good=above],baseline/3,9,22,bad,toward_good,False
baseline[good=above],baseline/3,10,22,bad,toward_bad,False
baseline[good=above],baseline/3,11,22,bad,toward_bad,False
baseline[good=above],baseline/3,12,22,bad,toward_bad,False
baseline[good=above],baseline/3,13,22,bad,toward_bad,False
baseline[good=above],baseline/3,14,22,bad,toward_bad,False
baseline[good=above],baseline/3,15,22,bad,toward_good,False
baseline[good=above],baseline/3,16,22,bad,toward_bad,False
baseline[good=above],baseline/3,17,22,bad,toward_bad,False
baseline[good=above],baseline/3,18,22,bad,toward_good,False
baseline[good=above],baseline/3,19,22,bad,toward_bad,False
baseline[good=above],baseline/3,20,22,bad,toward_good,False
baseline[good=above],baseline/3,21,22,bad,,True
baseline[good=below],baseline/3,0,22,good,toward_bad,False
baseline[good=below],baseline/3,1,22,good,toward_bad,False
baseline[good=below],baseline/3,2,22,good,toward_good,False
baseline[good=below],baseline/3,3,22,good,toward_bad,False
baseline[good=below],baseline/3,4,22,good,toward_bad,False
baseline[good=below],baseline/3,5,22,good,toward_good,False
baseline[good=below],baseline/3,6,22,good,toward_bad,False
baseline[good=below],baseline/3,7,22,good,toward_good,False
baseline[good=below],baseline/3,8,22,good,toward_good,False
baseline[good=below],baseline/3,9,22,good,toward_bad,False
baseline[good=below],baseline/3,10,22,good,toward_good,False
baseline[good=below],baseline/3,11,22,good,toward_good,False
baseline[good=below],baseline/3,12,22,good,toward_good,False
baseline[good=below],baseline/3,13,22,good,toward_good,False
baseline[good=below],baseline/3,14,22,good,toward_good,False
baseline[good=below],baseline/3,15,22,good,toward_bad,False
baseline[good=below],baseline/3,16,22,good,toward_good,False
baseline[good=below],baseline/3,17,22,good,toward_good,False
baseline[good=below],baseline/3,18,22,good,toward_bad,False
baseline[good=below],baseline/3,19,22,good,toward_good,False
baseline[good=below],baseline/3,20,22,good,toward_bad,False
baseline[good=below],baseline/3,21,22,good,,True
baseline[good=above],baseline/4,0,10,good,toward_good,False
baseline[good=above],baseline/4,1,10,good,toward_good,False
baseline[good=above],baseline/4,2,10,good,toward_bad,False
baseline[good=above],baseline/4,3,10,good,toward_bad,False
baseline[good=above],baseline/4,4,10,good,toward_good,False
baseline[good=above],baseline/4,5,10,good,toward_bad,False
baseline[good=above],baseline/4,6,10,good,toward_bad,False
baseline[good=above],baseline/4,7,10,good,toward_bad,False
baseline[good=above],baseline/4,8,10,good,toward_good,False
baseline[good=above],baseline/4,9,10,good,,True
baseline[good=below],baseline/4,0,10,bad,toward_bad,False
baseline[good=below],baseline/4,1,10,bad,toward_bad,False
baseline[good=below],baseline/4,2,10,bad,toward_good,False
baseline[good=below],baseline/4,3,10,bad,toward_good,False
baseline[good=below],baseline/4,4,10,bad,toward_bad,False
baseline[good=below],baseline/4,5,10,bad,toward_good,False
baseline[good=below],baseline/4,6,10,bad,toward_good,False
baseline[good=below],baseline/4,7,10,bad,toward_good,False
baseline[good=below],baseline/4,8,10,bad,toward_bad,False
baseline[good=below],baseline/4,9,10,bad,,True
