group,rollout,t,K,side,move,is_last
baseline[good=above],baseline/0,0,43,bad,toward_bad,False
baseline[good=above],baseline/0,1,43,bad,toward_bad,False
baseline[good=above],baseline/0,2,43,bad,toward_good,False
baseline[good=above],baseline/0,3,43,bad,toward_good,False
baseline[good=above],baseline/0,4,43,bad,toward_bad,False
baseline[good=above],baseline/0,5,43,bad,toward_good,False
baseline[good=above],baseline/0,6,43,bad,toward_bad,False
baseline[good=above],baseline/0,7,43,bad,toward_good,False
baseline[good=above],baseline/0,8,43,bad,toward_bad,False
baseline[good=above],baseline/0,9,43,bad,toward_good,False
baseline[good=above],baseline/0,10,43,bad,toward_good,False
baseline[good=above],baseline/0,11,43,bad,toward_good,False
baseline[good=above],baseline/0,12,43,bad,toward_good,False
baseline[good=above],baseline/0,13,43,bad,toward_bad,False
baseline[good=above],baseline/0,14,43,bad,toward_bad,False
baseline[good=above],baseline/0,15,43,bad,toward_good,False
baseline[good=above],baseline/0,16,43,bad,toward_bad,False
baseline[good=above],baseline/0,17,43,bad,toward_good,False
baseline[good=above],baseline/0,18,43,bad,toward_good,False
baseline[good=above],baseline/0,19,43,bad,toward_good,False
baseline[good=above],baseline/0,20,43,bad,toward_bad,False
baseline[good=above],baseline/0,21,43,bad,toward_bad,False
baseline[good=above],baseline/0,22,43,bad,toward_bad,False
baseline[good=above],baseline/0,23,43,bad,toward_bad,False
baseline[good=above],baseline/0,24,43,bad,toward_good,False
baseline[good=above],baseline/0,25,43,bad,toward_bad,False
baseline[good=above],baseline/0,26,43,bad,toward_good,False
baseline[good=above],baseline/0,27,43,bad,toward_good,False
baseline[good=above],baseline/0,28,43,bad,toward_bad,False
baseline[good=above],baseline/0,29,43,bad,toward_bad,False
baseline[good=above],baseline/0,30,43,bad,toward_bad,False
baseline[good=above],baseline/0,31,43,bad,toward_bad,False
baseline[good=above],baseline/0,32,43,bad,toward_good,False
baseline[good=above],baseline/0,33,43,bad,toward_bad,False
baseline[good=above],baseline/0,34,43,bad,toward_good,False
baseline[good=above],baseline/0,35,43,bad,toward_bad,False
baseline[good=above],baseline/0,36,43,bad,toward_good,False
baseline[good=above],baseline/0,37,43,bad,toward_good,False
baseline[good=above],baseline/0,38,43,bad,toward_bad,False
baseline[good=above],baseline/0,39,43,bad,same,False
baseline[good=above],baseline/0,40,43,bad,toward_bad,False
baseline[good=above],baseline/0,41,43,bad,toward_good,False
baseline[good=above],baseline/0,42,43,bad,,True
baseline[good=below],baseline/0,0,43,good,toward_good,False
baseline[good=below],baseline/0,1,43,good,toward_good,False
baseline[good=below],baseline/0,2,43,good,toward_bad,False
baseline[good=below],baseline/0,3,43,good,toward_bad,False
baseline[good=below],baseline/0,4,43,good,toward_good,False
baseline[good=below],baseline/0,5,43,good,toward_bad,False
baseline[good=below],baseline/0,6,43,good,toward_good,False
baseline[good=below],baseline/0,7,43,good,toward_bad,False
baseline[good=below],baseline/0,8,43,good,toward_good,False
baseline[good=below],baseline/0,9,43,good,toward_bad,False
baseline[good=below],baseline/0,10,43,good,toward_bad,False
baseline[good=below],baseline/0,11,43,good,toward_bad,False
baseline[good=below],baseline/0,12,43,good,toward_bad,False
baseline[good=below],baseline/0,13,43,good,toward_good,False
baseline[good=below],baseline/0,14,43,good,toward_good,False
baseline[good=below],baseline/0,15,43,good,toward_bad,False
baseline[good=below],baseline/0,16,43,good,toward_good,False
baseline[good=below],baseline/0,17,43,good,toward_bad,False
baseline[good=below],baseline/0,18,43,good,toward_bad,False
baseline[good=below],baseline/0,19,43,good,toward_bad,False
baseline[good=below],baseline/0,20,43,good,toward_good,False
baseline[good=below],baseline/0,21,43,good,toward_good,False
baseline[good=below],baseline/0,22,43,good,toward_good,False
baseline[good=below],baseline/0,23,43,good,toward_good,False
baseline[good=below],baseline/0,24,43,good,toward_bad,False
baseline[good=below],baseline/0,25,43,good,toward_good,False
baseline[good=below],baseline/0,26,43,good,toward_bad,False
baseline[good=below],baseline/0,27,43,good,toward_bad,False
baseline[good=below],baseline/0,28,43,good,toward_good,False
baseline[good=below],baseline/0,29,43,good,toward_good,False
baseline[good=below],baseline/0,30,43,good,toward_good,False
baseline[good=below],baseline/0,31,43,good,toward_good,False
baseline[good=below],baseline/0,32,43,good,toward_bad,False
baseline[good=below],baseline/0,33,43,good,toward_good,False
baseline[good=below],baseline/0,34,43,good,toward_bad,False
baseline[good=below],baseline/0,35,43,good,toward_good,False
baseline[good=below],baseline/0,36,43,good,toward_bad,False
baseline[good=below],baseline/0,37,43,good,toward_bad,False
baseline[good=below],baseline/0,38,43,good,toward_good,False
baseline[good=below],baseline/0,39,43,good,same,False
baseline[good=below],baseline/0,40,43,good,toward_good,False
baseline[good=below],baseline/0,41,43,good,toward_bad,False
baseline[good=below],baseline/0,42,43,good,,True
baseline[good=above],baseline/1,0,25,bad,toward_good,False
baseline[good=above],baseline/1,1,25,bad,toward_good,False
baseline[good=above],baseline/1,2,25,bad,toward_bad,False
baseline[good=above],baseline/1,3,25,bad,toward_bad,False
baseline[good=above],baseline/1,4,25,bad,toward_good,False
baseline[good=above],baseline/1,5,25,bad,toward_good,False
baseline[good=above],baseline/1,6,25,bad,toward_good,False
baseline[good=above],baseline/1,7,25,bad,toward_bad,False
baseline[good=above],baseline/1,8,25,bad,toward_bad,False
baseline[good=above],baseline/1,9,25,bad,toward_bad,False
baseline[good=above],baseline/1,10,25,bad,toward_good,False
baseline[good=above],baseline/1,11,25,bad,toward_bad,False
baseline[good=above],baseline/1,12,25,bad,toward_good,False
baseline[good=above],baseline/1,13,25,bad,toward_bad,False
baseline[good=above],baseline/1,14,25,bad,toward_bad,False
baseline[good=above],baseline/1,15,25,bad,toward_good,False
baseline[good=above],baseline/1,16,25,bad,toward_bad,False
baseline[good=above],baseline/1,17,25,bad,toward_good,False
baseline[good=above],baseline/1,18,25,good,toward_bad,False
baseline[good=above],baseline/1,19,25,bad,toward_bad,False
baseline[good=above],baseline/1,20,25,bad,toward_bad,False
baseline[good=above],baseline/1,21,25,bad,toward_bad,False
baseline[good=above],baseline/1,22,25,bad,toward_good,False
baseline[good=above],baseline/1,23,25,bad,toward_bad,False
baseline[good=above],baseline/1,24,25,bad,,True
baseline[good=below],baseline/1,0,25,good,toward_bad,False
baseline[good=below],baseline/1,1,25,good,toward_bad,False
baseline[good=below],baseline/1,2,25,good,toward_good,False
baseline[good=below],baseline/1,3,25,good,toward_good,False
baseline[good=below],baseline/1,4,25,good,toward_bad,False
baseline[good=below],baseline/1,5,25,good,toward_bad,False
baseline[good=below],baseline/1,6,25,good,toward_bad,False
baseline[good=below],baseline/1,7,25,good,toward_good,False
baseline[good=below],baseline/1,8,25,good,toward_good,False
baseline[good=below],baseline/1,9,25,good,toward_good,False
baseline[good=below],baseline/1,10,25,good,toward_bad,False
baseline[good=below],baseline/1,11,25,good,toward_good,False
baseline[good=below],baseline/1,12,25,good,toward_bad,False
baseline[good=below],baseline/1,13,25,good,toward_good,False
baseline[good=below],baseline/1,14,25,good,toward_good,False
baseline[good=below],baseline/1,15,25,good,toward_bad,False
baseline[good=below],baseline/1,16,25,good,toward_good,False
baseline[good=below],baseline/1,17,25,good,toward_bad,False
baseline[good=below],baseline/1,18,25,bad,toward_good,False
baseline[good=below],baseline/1,19,25,good,toward_good,False
baseline[good=below],baseline/1,20,25,good,toward_good,False
baseline[good=below],baseline/1,21,25,good,toward_good,False
baseline[good=below],baseline/1,22,25,good,toward_bad,False
baseline[good=below],baseline/1,23,25,good,toward_good,False
baseline[good=below],baseline/1,24,25,good,,True
baseline[good=above],baseline/2,0,22,good,toward_good,False
baseline[good=above],baseline/2,1,22,good,toward_bad,False
baseline[good=above],baseline/2,2,22,good,toward_bad,False
baseline[good=above],baseline/2,3,22,good,toward_good,False
baseline[good=above],baseline/2,4,22,good,toward_good,False
baseline[good=above],baseline/2,5,22,good,toward_good,False
baseline[good=above],baseline/2,6,22,good,toward_bad,False
baseline[good=above],baseline/2,7,22,good,toward_good,False
baseline[good=above],baseline/2,8,22,good,toward_bad,False
baseline[good=above],baseline/2,9,22,good,toward_good,False
baseline[good=above],baseline/2,10,22,good,toward_bad,False
baseline[good=above],baseline/2,11,22,good,toward_good,False
baseline[good=above],baseline/2,12,22,good,toward_bad,False
baseline[good=above],baseline/2,13,22,good,toward_good,False
baseline[good=above],baseline/2,14,22,good,toward_bad,False
baseline[good=above],baseline/2,15,22,good,toward_bad,False
baseline[good=above],baseline/2,16,22,good,toward_good,False
baseline[good=above],baseline/2,17,22,good,toward_bad,False
baseline[good=above],baseline/2,18,22,good,toward_good,False
baseline[good=above],baseline/2,19,22,good,toward_good,False
baseline[good=above],baseline/2,20,22,good,toward_bad,False
baseline[good=above],baseline/2,21,22,good,,True
baseline[good=below],baseline/2,0,22,bad,toward_bad,False
baseline[good=below],baseline/2,1,22,bad,toward_good,False
baseline[good=below],baseline/2,2,22,bad,toward_good,False
baseline[good=below],baseline/2,3,22,bad,toward_bad,False
baseline[good=below],baseline/2,4,22,bad,toward_bad,False
baseline[good=below],baseline/2,5,22,bad,toward_bad,False
baseline[good=below],baseline/2,6,22,bad,toward_good,False
baseline[good=below],baseline/2,7,22,bad,toward_bad,False
baseline[good=below],baseline/2,8,22,bad,toward_good,False
baseline[good=below],baseline/2,9,22,bad,toward_bad,False
baseline[good=below],baseline/2,10,22,bad,toward_good,False
baseline[good=below],baseline/2,11,22,bad,toward_bad,False
baseline[good=below],baseline/2,12,22,bad,toward_good,False
baseline[good=below],baseline/2,13,22,bad,toward_bad,False
baseline[good=below],baseline/2,14,22,bad,toward_good,False
baseline[good=below],baseline/2,15,22,bad,toward_good,False
baseline[good=below],baseline/2,16,22,bad,toward_bad,False
baseline[good=below],baseline/2,17,22,bad,toward_good,False
baseline[good=below],baseline/2,18,22,bad,toward_bad,False
baseline[good=below],baseline/2,19,22,bad,toward_bad,False
baseline[good=below],baseline/2,20,22,bad,toward_good,False
baseline[good=below],baseline/2,21,22,bad,,True
baseline[good=above],baseline/3,0,28,good,toward_good,False
