group,value,n_above,n_below,p_above_given_above_good,ci_a,p_above_given_below_good,ci_b,diff,diff_ci,p_fav,p_fav_ci,bias
all,,100,99,0.54,"(0.4426468539352385, 0.6343935614666814)",0.45454545454545453,"(0.3599919588990025, 0.5524948168804485)",0.0854545454545455,"(-0.045558080808080825, 0.22616666666666665)",0.542713567839196,"(0.4733420179591829, 0.6104672203824592)",0.085427135678392
restates_bet,present,100,99,0.54,"(0.4426468539352385, 0.6343935614666814)",0.45454545454545453,"(0.3599919588990025, 0.5524948168804485)",0.0854545454545455,"(-0.045558080808080825, 0.22616666666666665)",0.542713567839196,"(0.4733420179591829, 0.6104672203824592)",0.085427135678392
restates_bet,absent,0,0,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",
resolves_to_ignore,present,91,90,0.4945054945054945,"(0.39410407484574694, 0.5953520288049718)",0.5,"(0.398835445409866, 0.601164554590134)",-0.005494505494505475,"(-0.14908424908424905, 0.13797619047619053)",0.4972375690607735,"(0.4252141600592865, 0.5693758023734126)",-0.0055248618784530246
resolves_to_ignore,absent,9,9,1.0,"(0.7008472464490406, 1.0)",0.0,"(0.0, 0.2991527535509594)",1.0,"(1.0, 1.0)",1.0,"(0.8241154494176252, 1.0)",1.0
explicit_aiming,present,6,9,1.0,"(0.6096569663469354, 1.0)",0.1111111111111111,"(0.019890371327130518, 0.4350062147680602)",0.8888888888888888,"(0.6666666666666667, 1.0)",0.9333333333333333,"(0.70182922447576, 0.9881334113938052)",0.8666666666666667
explicit_aiming,absent,94,90,0.5106382978723404,"(0.41116709806344404, 0.6092741048604655)",0.4888888888888889,"(0.38820314979105425, 0.5904843406183163)",0.021749408983451513,"(-0.1217494089834516, 0.1638416075650117)",0.5108695652173914,"(0.43915984602469954, 0.5821346915005347)",0.021739130434782705
user_intent_reading,present,39,32,0.5641025641025641,"(0.4097542347452211, 0.7069547583829534)",0.53125,"(0.3644923793257382, 0.6913087009831766)",0.0328525641025641,"(-0.20032051282051283, 0.2660256410256411)",0.5211267605633803,"(0.4068579625004498, 0.6332266962989344)",0.04225352112676051
user_intent_reading,absent,61,67,0.5245901639344263,"(0.4015694171531101, 0.6446971771320403)",0.417910447761194,"(0.30742116374992556, 0.5373028402251399)",0.10667971617323224,"(-0.06483973574749208, 0.2768045020797647)",0.5546875,"(0.4682418237634646, 0.6379462079351799)",0.109375
threshold_as_evidence,present,99,98,0.5353535353535354,"(0.4376291394106047, 0.6304367016498222)",0.4489795918367347,"(0.3542819817359245, 0.5475263166411631)",0.08637394351680067,"(-0.04711142032570612, 0.22840651412079982)",0.5431472081218274,"(0.4734237988327458, 0.6112200199776998)",0.08629441624365475
threshold_as_evidence,absent,1,1,1.0,"(0.20654329147389294, 1.0)",1.0,"(0.20654329147389294, 1.0)",0.0,"(0.0, 0.0)",0.5,"(0.09452865480086611, 0.905471345199134)",0.0
suspicion,present,34,65,0.47058823529411764,"(0.31451251633111366, 0.6326355957994516)",0.5692307692307692,"(0.44832757984982086, 0.6824073246265422)",-0.09864253393665157,"(-0.30723981900452485, 0.10588235294117654)",0.4444444444444444,"(0.3504590472721702, 0.5425803453471589)",-0.11111111111111116
suspicion,absent,66,34,0.5757575757575758,"(0.45560437087929284, 0.6875767704462209)",0.23529411764705882,"(0.12436838109244344, 0.3999646280826443)",0.340463458110517,"(0.147927807486631, 0.5187165775401069)",0.64,"(0.542352199811621, 0.7272892540950986)",0.28
disclosure=admits,admits,1,0,1.0,"(0.20654329147389294, 1.0)",,"(nan, nan)",,"(nan, nan)",1.0,"(0.20654329147389294, 1.0)",1.0
disclosure=mentions,mentions,24,22,0.7083333333333334,"(0.5083193634129031, 0.8508553966583573)",0.3181818181818182,"(0.16360387354692477, 0.5268177721716065)",0.3901515151515152,"(0.12121212121212122, 0.6515151515151516)",0.6956521739130435,"(0.5519408125976183, 0.8092032919255109)",0.3913043478260869
disclosure=no_mention,no_mention,60,44,0.5166666666666667,"(0.39307594850843575, 0.6382515871422999)",0.38636363636363635,"(0.25720998886701985, 0.5337669015379832)",0.13030303030303036,"(-0.05609848484848482, 0.3151515151515151)",0.5576923076923077,"(0.4618751630220258, 0.6493991504154603)",0.11538461538461542
disclosure=denies,denies,13,32,0.23076923076923078,"(0.08179379092465712, 0.5025687399512693)",0.65625,"(0.4831077350878594, 0.7958976664567146)",-0.4254807692307692,"(-0.6899038461538461, -0.13221153846153844)",0.3111111111111111,"(0.19528525463541907, 0.4566507998754897)",-0.37777777777777777
any_bet_revision,present,12,20,0.6666666666666666,"(0.3906175873976139, 0.8618821601026386)",0.5,"(0.2992949144298199, 0.70070508557018)",0.16666666666666663,"(-0.1833333333333333, 0.5166666666666666)",0.5625,"(0.3932530203122613, 0.7183491403055682)",0.125
any_bet_revision,absent,88,79,0.5227272727272727,"(0.4196177626380677, 0.6239354855631831)",0.4430379746835443,"(0.33867609150989586, 0.5526828392688432)",0.07968929804372843,"(-0.07195411392405061, 0.2313327100115073)",0.5389221556886228,"(0.4632921246441509, 0.6128017541301056)",0.07784431137724557
